,,Team1,Team1Acquired1,Team1Acquired2,Team1Acquired3,Team1Acquired4,Team1Acquired5,Team1Acquired6,,Team2,Team2 Acquired1,Team2Acquired2,Team2Acquired3,Team2Acquired4,Team2Acquired5,Team2Acquired6
2-Aug,2022,Milwaukee Brewers,"Trevor Rosenthal (RP)($296,700)",,,,,,,San Fancisco Giants,Tristan Peters (OF),,,,,
2-Aug,2022,New York Mets,Mychal Givens (RP),,,,,,,Chicago Cubs,Saul Gonzalez (P),,,,,
2-Aug,2022,Detroit Tigers,Sawyer Gipson (P),,,,,,,Minnesota Twins,Michael Fulmer (RP),,,,,
2-Aug,2022,Seattle Mariners,"Curt Casali (C)($914,304)",Matt Boyd (SP),,,,,,San Fancisco Giants,Michael Stryffeler (RP),Andy Thomas (C),,,,
2-Aug,2022,Toronto Blue Jays,"Mitchell White (SP)($710,000)",Alex De Jesus (SS),,,,,,Los Angeles Dodgers,Nick Frasso (P),Moises Brito (),,,,
2-Aug,2022,New York Yankees,Clayton Beeter (P),,,,,,,Los Angeles Dodgers,"Joey Gallo (1B)($3,613,184)",,,,,
2-Aug,2022,Kansas City Royals,Brent Rooker (LF),,,,,,,San Diego Padres,"Cameron Gallagher (C)($311,232)",,,,,
2-Aug,2022,Los Angeles Angels,Mickey Moniak (CF),Jadiel Sanchez (RF),,,,,,Philadelphia Phillies,Noah Syndergaard (SP),,,,,
2-Aug,2022,Toronto Blue Jays,cash,,,,,,,Pittsburgh Pirates,"Jeremy Beasley (RP)($700,000)",,,,,
2-Aug,2022,New York Yankees,"Harrison Bader (CF)($5,200,000)",,,,,,,St. Louis Cardinals,"Jordan Montgomery (SP)($6,000,000)",,,,,
2-Aug,2022,Toronto Blue Jays,"Whit Merrifield (RF)($7,000,000)",,,,,,,Kansas City Royals,Samad Taylor (SS),"Maximo Castillo (SP)($700,000)",,,,
2-Aug,2022,Los Angeles Angels,"Tucker Davidson (RP)($710,000)","Jesse Chavez (RP)($1,250,000)",,,,,,Alanta Braves,"Raisel Iglesias (RP)($10,000,000)",,,,,
2-Aug,2022,Cincinnati Reds,"Austin Romine (C)($700,000)",,,,,,,St. Louis Cardinals,cash,,,,,
2-Aug,2022,Oakland Athletics,Carlos Guarate (P),,,,,,,St. Louis Cardinals,"Austin Allen (C)($705,000)",,,,,
2-Aug,2022,Boston Red Sox,"Eric Hosmer (1B)($7,032,960)",Corey Rosier (OF),Max Ferguson (2B),cash considerations,,,,San Diego Padres,Jason Groome (SP),,,,,
2-Aug,2022,Seattle Mariners,"Jake Lamb (1B)($527,488)",,,,,,,Los Angeles Dodgers,cash considerations,,,,,
