"Player","Pos","Age","Bats","Throws","BaseSalary","Team"
"Justin Verlander","SP","40","","R","$43,333,333 "," HOU"
"Max Scherzer","SP","38","","R","$43,333,333 "," TEX"
"Aaron Judge","CF","31","R","","$40,000,000 "," NYY"
"Anthony Rendon","3B","33","R","","$38,000,000 "," LAA"
"Gerrit Cole","SP","32","","R","$36,000,000 "," NYY"
"Mike Trout","CF","31","R","","$35,450,000 "," LAA"
"Stephen Strasburg","SP","34","","R","$35,000,000 "," WSH"
"Nolan Arenado","3B","32","R","","$35,000,000 "," STL"
"Corey Seager","SS","29","L","","$35,000,000 "," TEX"
"Giancarlo Stanton","RF","33","R","","$32,000,000 "," NYY"
"Miguel Cabrera","DH","40","R","","$32,000,000 "," DET"
"Carlos Correa","SS","28","R","","$32,000,000 "," MIN"
"Francisco Lindor","SS","29","","","$32,000,000 "," NYM"
"Shohei Ohtani","SP/DH","28","","R","$30,000,000 "," LAA"
"Jacob deGrom","SP","35","","R","$30,000,000 "," TEX"
"Alex Bregman","3B","29","R","","$28,500,000 "," HOU"
"Chris Sale","SP","34","","L","$27,500,000 "," BOS"
"Trea Turner","SS","30","R","","$27,272,727 "," PHI"
"Freddie Freeman","1B","33","L","","$27,000,000 "," LAD"
"Kris Bryant","RF","31","R","","$27,000,000 "," COL"
"Bryce Harper","1B","30","L","","$26,000,000 "," PHI"
"Jose Altuve","2B","33","R","","$26,000,000 "," HOU"
"Marcus Semien","2B","32","R","","$26,000,000 "," TEX"
"Christian Yelich","LF","31","L","","$26,000,000 "," MIL"
"Marcus Stroman","SP","32","","R","$25,000,000 "," CHC"
"Joey Votto","1B","39","L","","$25,000,000 "," CIN"
"Xander Bogaerts","SS","30","R","","$25,000,000 "," SD"
"Zack Wheeler","SP","33","","R","$24,500,000 "," PHI"
"Yu Darvish","SP","36","","R","$24,000,000 "," SD"
"Patrick Corbin","SP","33","","L","$24,000,000 "," WSH"
"J.T. Realmuto","C","32","R","","$23,875,000 "," PHI"
"Juan Soto","LF","24","L","","$23,000,000 "," SD"
"George Springer","RF","33","R","","$22,500,000 "," TOR"
"Carlos Rodon","SP","30","","L","$22,000,000 "," NYY"
"Paul Goldschmidt","1B","35","R","","$22,000,000 "," STL"
"Javier Baez","SS","30","R","","$22,000,000 "," DET"
"Robbie Ray","SP","31","","L","$21,000,000 "," SEA"
"Kevin Gausman","SP","32","","R","$21,000,000 "," TOR"
"Matt Olson","1B","29","L","","$21,000,000 "," ATL"
"Charlie Morton","SP","39","","R","$20,000,000 "," ATL"
"Nick Castellanos","RF","31","R","","$20,000,000 "," PHI"
"Joe Musgrove","SP","30","","R","$20,000,000 "," SD"
