,,Team1,Team1Acquired1,Team1Acquired2,Team1Acquired3,Team1Acquired4,Team1Acquired5,Team1Acquired6,Team2,Team2Acquired1,Team2Acquired2,Team2Acquired3,Team2Acquired4,Team2Acquired5,Team2Acquired6
1-Aug,2023,Texas Rangers,Alex Jackson (C),,,,,,Milwaukee Brewers,Evan McKendry (P),,,,,
1-Aug,2023,Milwaukee Brewers,"Andrew Chafin (RP)($1,803,770)",,,,,,Arizona Diamondbacks,Peter Strzelecki (RP),,,,,
1-Aug,2023,Chicago White Sox,Jake Eder (SP),,,,,,Miami Marlins,Jake Burger (3B),,,,,
1-Aug,2023,Detroit Tigers,Eddys Leonard (SS),,,,,,Los Angeles Dodgers,cash considerations,,,,,
1-Aug,2023,Tampa Bay Rays,cash considerations,,,,,,Chicago White Sox,Luis Patino (SP),,,,,
1-Aug,2023,Texas Rangers,"Austin Hedges (C)($3,360,198)",,,,,,Pittsburgh Pirates,International Bonus Space,,,,,
1-Aug,2023,New York Mets,Jeremy Rodriguez (SS),,,,,,Arizona Diamondbacks,"Tommy Pham (LF)($1,639,802)",,,,,
1-Aug,2023,Baltimore Orioles,"Jack Flaherty (SP)($1,770,952)",,,,,,St. Louis Cardninals,Cesar Prieto (2B),Drew Rom (P),Zack Showalter (P),,,
1-Aug,2023,New York Mets,Phil Bickford (RP),Adam Kolarek (RP),,,,,Los Angeles Dodgers,cash considerations,,,,,
1-Aug,2023,New York Yankees,"Keynan Middleton (RP)($245,952)",,,,,,Chicago White Sox,Juan Carela (P),,,,,
1-Aug,2023,Philadelphia Phillies,Rodolfo Castro (SS),,,,,,Pittsburgh Pirates,Bailey Falter (SP),,,,,
1-Aug,2023,San Diego Padres,"Garrett Cooper (1B)($1,377,441)",Sean Reynolds (RP),,,,,Miami Marlins,Ryan Weathers (SP),,,,,
1-Aug,2023,Kansas City Royals,Henry Williams (SP),Jesus Rios (),,,,,San Diego Padres,"Scott Barlow (RP)($1,738,195)",,,,,
1-Aug,2023,Kansas City Royals,Devin Mann (2B),Derlin Figueroa (),,,,,Los Angeles Dodgers,"Ryan Yarbrough (SP)($983,869)",,,,,
1-Aug,2023,New York Yankees,Spencer Howard (SP),,,,,,Texas Rangers,cash considerations,,,,,
1-Aug,2023,Miami Marlins,"Josh Bell (1B)($5,411,310)",,,,,,Cleveland Gaurdians,Jean Segura (3B),Khalil Watson (SS),,,,
1-Aug,2023,Boston Red Sox,"Luis Urias (3B)($1,541,409)",,,,,,Milwaukee Brewers,Bradley Blalock (P),,,,,
1-Aug,2023,Los Angeles Angels,"Dominic Leone (RP)($245,952)",,,,,,New York Mets,Jeremiah Jackson (SS),,,,,
1-Aug,2023,Baltimore Orioles,Logan Rinehart (P),,,,,,Seattle Mariners,Eduard Bazardo (P),,,,,
1-Aug,2023,Detroit Tigers,Hao-Yu Lee (),,,,,,Philadelphia Phillies,"Michael Lorenzen (SP)($2,787,639)",,,,,
1-Aug,2023,New York Mets,Drew Gilbert (CF),Ryan Clifford (LF),,,,,Houston Astros,Justin Verlander (SP),,,,,
1-Aug,2023,Alanta Braves,Brad Hand (RP),,,,,,Colorado Rockies,Alec Barger (P),,,,,
1-Aug,2023,Pittsburgh Pirates,Jackson Wolf (P),Estuar Suero (OF),Alfonso Rivas (1B),,,,San Diego Padres,"Rich Hill (SP)($2,623,671)","Ji-Man Choi (1B)($1,525,000)",,,,
1-Aug,2023,Toronto Blue Jays,Paul DeJong (SS),,,,,,St. Louis Cardninals,Matt Svanson (P),,,,,
1-Aug,2023,Colorado Rockies,Justin Bruihl (RP),,,,,,Los Angeles Dodgers,cash considerations,,,,,
1-Aug,2023,Kansas City Royals,Tucker Davidson (RP),,,,,,Los Angeles Angels,cash considerations,,,,,
1-Aug,2023,Tampa Bay Rays,"Adrian Sampson (SP)($623,115)",International Bonus Space,Manuel Rodriguez (RP),,,,Chicago Cubs,Josh Roberson (P),,,,,
31-Jul,2023,Kansas City Royals,"Nelson Velazquez (CF)($240,002)",,,,,,Chicago Cubs,"Jose Cuas (RP)($241,986)",,,,,
31-Jul,2023,Oakland Athletics,Joe Boyle (P),,,,,,Cincinnati Reds,Sam Moll (RP),International Cap Space,,,,
31-Jul,2023,Oakland Athletics,Chad Patrick (P),,,,,,Arizona Diamondbacks,"Jace Peterson (3B)($1,500,028)",,,,,
31-Jul,2023,Seattle Mariners,future considerations,,,,,,San Francisco Giants,"A.J. Pollock (LF)($2,333,308)",Mark Mathias (2B),,,,
31-Jul,2023,Washington Nationals,DJ Herz (P),Kevin Made (SS),,,,,Chicago Cubs,"Jeimer Candelario (3B)($1,666,684)",,,,,
31-Jul,2023,New York Mets,Justin Jarvis (P),,,,,,Milwaukee Brewers,"Mark Canha (LF)($240,002)",,,,,
31-Jul,2023,Seattle Mariners,Dominic Canzone (RF),"Josh Rojas (3B)($858,328)",Ryan Bliss (SS),,,,Arizona Diamondbacks,"Paul Sewald (RP)($1,366,666)",,,,,
31-Jul,2023,Tampa Bay Rays,"Aaron Civale (SP)($866,636)",,,,,,Cleveland Gaurdians,Kyle Manzardo (1B),,,,,
31-Jul,2023,Kansas City Royals,"Taylor Hearn (RP)($487,506)",,,,,,Alanta Braves,"Nicky Lopez (3B)($1,233,304)",,,,,
31-Jul,2023,Los Angeles Angels,"Randal Grichuk (RF)($1,444,472)","C.J. Cron (1B)($2,416,636)",,,,,Colorado Rockies,Jake Madden (RP),Mason Albright (P),,,,
30-Jul,2023,Texas Rangers,"Jordan Montgomery (SP)($3,387,069)","Chris Stratton (RP)($948,402)",,,,,St. Louis Cardninals,John King (RP),Thomas Saggese (SS),Tekoah Roby (P),,,
30-Jul,2023,Toronto Blue Jays,"Jordan Hicks (RP)($622,377)",,,,,,St. Louis Cardninals,Adam Kloffenstein (P),Sem Robberse (SP),,,,
29-Jul,2023,Texas Rangers,Max Scherzer (SP),,,,,,New York Mets,Luisangel Acuna (SS),,,,,
28-Jul,2023,Chicago White Sox,Korey Lee (C),,,,,,Houston Astros,"Kendall Graveman (RP)($2,795,715)",,,,,
28-Jul,2023,Chicago White Sox,Nick Nastrini (P),Jordan Leasure (P),"Trayce Thompson (CF)($506,740)",,,,Los Angeles Dodgers,"Lance Lynn (SP)($6,465,030)","Joe Kelly (RP)($3,145,155)",,,,
28-Jul,2023,New York Mets,Ronald Hernandez ©,Marco Vargas (3B),,,,,Miami Marlins,"David Robertson (RP)($3,494,595)",,,,,
27-Jul,2023,Milwaukee Brewers,"Carlos Santana (1B)($2,386,296)",,,,,,Pittsburgh Pirates,Jhonny Severino (SS),,,,,
27-Jul,2023,Los Angeles Dodgers,"Amed Rosario (SS)($2,767,710)",,,,,,Cleveland Gaurdians,"Noah Syndergaard (SP)($2,767,710)",,,,,
27-Jul,2023,Chicago White Sox,Ky Bush (P),Edgar Quero (C),,,,,Los Angeles Angels,"Lucas Giolito (SP)($3,690,324)","Reynaldo Lopez (RP)($1,286,274)",,,,
27-Jul,2023,Boston Red Sox,Mauricio Llovera (RP),,,,,,San Francisco Giants,Marques Johnson (P),,,,,
