PLAYER,POS.,AGE,BATS,THROWS,FROM,TO,YRS,DOLLARS,AVG. SALARY,H,RBI,HR,AVG,OPS,IP,ERA,WHIP,W,SV,WAR
Aaron Loup,RP,33.9,L,L,NYM,LAA,2,"$17,000,000 ","$8,500,000 ",,,,,,56.7,0.95,0.94,6,0,2.79
Adam Ottavino,RP,36.2,,R,BOS,NYM,1,"$4,000,000 ","$4,000,000 ",,,,,,62,4.21,1.45,7,11,0.81
Albert Pujols,DH,42.2,R,R,LAD,STL,1,"$2,500,000 ","$2,500,000 ",65,50,17,0.236,0.717,,,,,,-0.72
Alex Cobb,SP,34.1,R,R,LAA,SF,2,"$20,000,000 ","$10,000,000 ",,,,,,93.3,3.76,1.26,8,,1.63
Alex Colome,RP,33.2,R,R,MIN,COL,1,"$4,100,000 ","$4,100,000 ",,,,,,65,4.15,1.4,4,17,-0.65
Alex Dickerson,LF,31.8,L,L,SF,ATL,1,"$1,000,000 ","$1,000,000 ",66,38,13,0.233,0.724,,,,,,-0.1
Alex Wood,SP,30.8,R,L,SF,SF,2,"$25,000,000 ","$12,500,000 ",,,,,0.116,138.7,3.83,1.18,10,,1.63
Andrelton Simmons,SS,32.5,R,R,MIN,CHC,1,"$4,000,000 ","$4,000,000 ",92,31,3,0.223,0.557,,,,,,1.47
Andrew Chafin,RP,31.7,R,L,OAK,DET,2,"$13,000,000 ","$6,500,000 ",,,,,,68.7,1.84,0.93,2,5,1.48
Andrew Heaney,SP,30.4,L,L,NYY,LAD,1,"$8,500,000 ","$8,500,000 ",1,,,0.333,0.833,129.7,5.83,1.32,8,,0.8
Andrew Knapp,C,30.3,,R,CIN,PIT,1,"$800,000 ","$800,000 ",22,11,2,0.152,0.429,0.3,,,,,-1.47
Andrew McCutchen,RF,35.4,R,R,PHI,MIL,1,"$8,500,000 ","$8,500,000 ",107,80,27,0.222,0.778,,,,,,1.36
Andrew Vasquez,RP,28.4,L,L,LAD,TOR,-,-,-,,,,,,1.7,,0.6,0,0,0.08
Anthony Banda,RP,29,L,L,SEA,NYY,1,"$700,000 ","$700,000 ",,,,,,33.7,4.28,1.55,2,0,-0.33
Anthony DeSclafani,SP,31.6,R,R,SF,SF,3,"$36,000,000 ","$12,000,000 ",2,1,,0.039,0.168,167.7,3.17,1.09,13,,4.17
Anthony Rizzo,1B,32.6,L,L,NYY,NYY,2,"$32,000,000 ","$16,000,000 ",123,61,22,0.248,0.784,0.7,,,,,1.18
Archie Bradley,RP,29.6,R,R,PHI,LAA,1,"$3,750,000 ","$3,750,000 ",,,,,,51,3.71,1.43,7,2,0.68
Avisail Garcia,RF,30.4,R,R,MIL,MIA,4,"$53,000,000 ","$13,250,000 ",121,86,29,0.262,0.821,,,,,,2.9
Brad Boxberger,RP,33.8,R,R,MIL,MIL,1,"$2,500,000 ","$2,500,000 ",,,,,,64.7,3.34,1.07,5,4,1.16
Brad Hand,RP,31.9,L,L,NYM,PHI,1,"$6,000,000 ","$6,000,000 ",,,,,,64.7,3.9,1.27,6,21,0.27
Brad Miller,LF,32.3,L,R,PHI,TEX,2,"$10,000,000 ","$5,000,000 ",75,49,20,0.227,0.774,,,,,,0.36
Brandon Belt,1B,33.5,L,L,SF,SF,1,"$18,400,000 ","$18,400,000 ",89,59,29,0.274,0.975,,,,,,2.65
Brooks Raley,RP,33.4,L,L,HOU,TB,2,"$10,000,000 ","$5,000,000 ",,,,,,49,4.78,1.2,2,2,-0.43
Bryan Shaw,RP,34.3,,R,CLE,CLE,1,"$3,000,000 ","$3,000,000 ",,,,,,77.3,3.49,1.38,6,2,1.25
Carlos Correa,SS,27.4,R,R,HOU,MIN,3,"$105,300,000 ","$35,100,000 ",154,92,26,0.277,0.847,,,,,,7.23
Carlos Rodon,SP,29.2,L,L,CHW,SF,2,"$44,000,000 ","$22,000,000 ",,,,,,132.7,2.37,0.96,13,,5.07
Cesar Hernandez,2B,31.5,,R,CHW,WSH,1,"$4,000,000 ","$4,000,000 ",132,62,21,0.232,0.694,,,,,,1.12
Chad Kuhl,RP,29.5,R,R,PIT,COL,1,"$3,000,000 ","$3,000,000 ",1,,,0.048,0.139,80.3,4.82,1.43,5,0,0.12
Chris Archer,SP,33.5,R,R,TB,MIN,1,"$3,750,000 ","$3,750,000 ",,,,,,19.3,4.66,1.35,1,,-0.11
Chris Martin,RP,35.8,R,R,ATL,CHC,1,"$2,750,000 ","$2,750,000 ",,,,,,43.3,3.95,1.27,2,1,0.41
Chris Taylor,3B,31.2,R,R,LAD,LAD,4,"$60,000,000 ","$15,000,000 ",129,73,20,0.254,0.782,,,,,,2.59
Clayton Kershaw,SP,33.9,L,L,LAD,LAD,1,"$17,000,000 ","$17,000,000 ",8,3,,0.222,0.465,121.7,3.55,1.02,10,,2.11
Clint Frazier,OF,27.2,R,R,NYY,CHC,1,"$1,500,000 ","$1,500,000 ",34,15,5,0.186,0.634,,,,,,-1.41
Colin Moran,1B,29.4,L,R,PIT,CIN,1,"$1,000,000 ","$1,000,000 ",82,50,10,0.258,0.724,,,,,,-0.01
Collin McHugh,RP,34.7,R,R,TB,ATL,2,"$10,000,000 ","$5,000,000 ",,,,,,64,1.55,0.94,6,1,1.96
Corey Dickerson,LF,32.8,L,R,TOR,STL,1,"$5,000,000 ","$5,000,000 ",91,29,6,0.271,0.734,,,,,,-0.1
Corey Kluber,SP,35.6,R,R,NYY,TB,1,"$8,000,000 ","$8,000,000 ",,,,,,80,3.83,1.34,5,,1.44
Corey Knebel,RP,30,R,R,LAD,PHI,1,"$10,000,000 ","$10,000,000 ",,,,,,25.7,2.46,0.97,4,3,0.71
Corey Seager,SS,27.6,L,R,LAD,TEX,10,"$325,000,000 ","$32,500,000 ",108,57,16,0.306,0.915,,,,,,3.7
Dan Vogelbach,DH,29.2,L,R,MIL,PIT,1,"$1,000,000 ","$1,000,000 ",47,24,9,0.219,0.73,,,,,,-0.17
Daniel Hudson,RP,34.7,R,R,SD,LAD,1,"$7,000,000 ","$7,000,000 ",,,,,,51.7,3.31,1.08,5,0,0.98
Daniel Norris,RP,28.8,L,L,MIL,CHC,1,"$1,750,000 ","$1,750,000 ",,,,,,57,6.16,1.49,2,1,-0.32
Danny Duffy,SP,33.2,L,L,LAD,LAD,1,"$3,000,000 ","$3,000,000 ",,,,,,61,2.51,1.21,4,,2.07
David Robertson,RP,36.9,R,R,TB,CHC,1,"$3,500,000 ","$3,500,000 ",,,,,,12,4.5,1.25,0,0,-0.11
Donovan Solano,2B,34.2,R,R,SF,CIN,1,"$4,500,000 ","$4,500,000 ",86,31,7,0.28,0.748,,,,,,1.14
Drew Smyly,SP,32.8,L,L,ATL,CHC,1,"$5,250,000 ","$5,250,000 ",3,,,0.073,0.146,126.7,4.48,1.37,11,,0.78
Dylan Bundy,SP,29,,R,LAA,MIN,1,"$5,000,000 ","$5,000,000 ",1,,,0.25,0.5,90.7,6.06,1.36,2,,-0.29
Eddie Rosario,LF,30.4,L,R,ATL,ATL,2,"$18,000,000 ","$9,000,000 ",98,62,14,0.259,0.74,,,,,,0.56
Eduardo Escobar,3B,32.8,,R,MIL,NYM,2,"$20,000,000 ","$10,000,000 ",139,90,28,0.253,0.786,,,,,,2.13
Eduardo Rodriguez,SP,28.6,L,L,BOS,DET,5,"$77,000,000 ","$15,400,000 ",,,,,,157.7,4.74,1.39,13,,1.75
Ehire Adrianza,SS,32.5,,R,ATL,WSH,1,"$1,500,000 ","$1,500,000 ",45,28,5,0.247,0.728,,,,,,0.3
Elvis Andrus,SS,33.9,R,R,OAK,CHW,-,-,-,121,37,3,0.243,0.614,,,,,,0.6
Freddie Freeman,1B,32.5,L,R,ATL,LAD,6,"$162,000,000 ","$27,000,000 ",180,83,31,0.3,0.895,,,,,,4.65
Garrett Richards,SP,33.8,R,R,BOS,TEX,1,"$5,500,000 ","$5,500,000 ",1,1,,0.2,0.6,136.7,4.87,1.6,7,,0.28
Hanser Alberto,2B,29.3,R,R,KC,LAD,1,"$1,600,000 ","$1,600,000 ",65,24,2,0.27,0.693,0.3,,,,,0.37
Heath Hembree,RP,33.2,R,R,NYM,PIT,1,"$2,125,000 ","$2,125,000 ",,,,,,58,5.59,1.19,2,9,-0.54
Hector Neris,RP,32.4,R,R,PHI,HOU,2,"$17,000,000 ","$8,500,000 ",,,,,,74.3,3.63,1.17,4,12,1.18
Hunter Strickland,RP,33.4,R,R,MIL,CIN,1,"$1,825,000 ","$1,825,000 ",,,,,,58.7,2.61,1.16,3,0,0.3
Ian Kennedy,RP,37.2,R,R,PHI,ARI,1,"$4,750,000 ","$4,750,000 ",,,,,,56.3,3.2,1.1,3,27,1.14
Jackie Bradley Jr.,CF,32.2,L,R,BOS,TOR,-,-,-,63,29,6,0.163,0.497,,,,,,-0.66
Jake Diekman,RP,35.1,L,L,OAK,BOS,2,"$8,000,000 ","$4,000,000 ",,,,,,60.7,3.86,1.34,3,7,0.36
Jake Marisnick,CF,31,R,R,SD,PIT,1,"$1,300,000 ","$1,300,000 ",38,24,5,0.216,0.661,,,,,,0.42
Jake McGee,RP,35.9,L,L,SF,MIL,-,-,-,,,,,,59.7,2.72,0.91,3,31,0.98
James Paxton,SP,33,L,L,SEA,BOS,1,"$10,000,000 ","$10,000,000 ",,,,,,1.3,6.75,0.75,0,,-0.01
Jason Adam,RP,30.6,R,R,CHC,TB,1,"$900,000 ","$900,000 ",,,,,,10.7,5.91,1.5,1,0,-0.1
Javier Baez,SS,28.9,R,R,NYM,DET,6,"$140,000,000 ","$23,333,333 ",133,87,31,0.265,0.813,,,,,,2.66
Jed Lowrie,2B,37.9,,R,OAK,OAK,1,"$850,000 ","$850,000 ",112,69,14,0.245,0.716,,,,,,0.13
Jesse Chavez,RP,38.5,R,R,ATL,CHC,1,"$1,250,000 ","$1,250,000 ",,,,,,33.7,2.14,0.98,3,0,1.12
Jeurys Familia,RP,32.4,R,R,NYM,PHI,1,"$6,000,000 ","$6,000,000 ",,,,,,59.3,3.94,1.42,9,1,0.02
Jhoulys Chacin,SP,33.8,R,R,COL,COL,1,"$1,250,000 ","$1,250,000 ",,,,,,64.3,4.34,1.26,3,,0.65
Jimmy Nelson,RP,32.8,R,R,LAD,LAD,1,"$700,000 ","$700,000 ",,,,,,29,1.86,0.93,1,0,0.93
Joc Pederson,LF,29.8,L,L,ATL,SF,1,"$6,000,000 ","$6,000,000 ",103,61,18,0.24,0.739,,,,,,-0.26
Joe Kelly,RP,33.8,R,R,LAD,CHW,2,"$17,000,000 ","$8,500,000 ",,,,,,44,2.86,0.98,2,2,0.7
Joe Smith,RP,37.9,R,R,SEA,MIN,1,"$2,500,000 ","$2,500,000 ",,,,,,39.7,4.99,1.39,4,0,-0.49
Joely Rodriguez,RP,29.9,L,L,NYY,NYY,1,"$2,500,000 ","$2,500,000 ",,,,,,46.3,4.66,1.53,2,1,-0.63
Johan Camargo,3B,27.9,,R,ATL,PHI,1,"$1,400,000 ","$1,400,000 ",,,,,0.111,,,,,,-0.36
John Curtiss,RP,29,R,R,MIL,NYM,1,"$770,000 ","$770,000 ",,,,,,44.3,3.45,1.22,3,0,0.92
Jon Gray,SP,30,R,R,COL,TEX,4,"$56,000,000 ","$14,000,000 ",5,3,,0.106,0.212,149,4.59,1.33,8,,1.48
Jonathan Villar,SS,31.2,,R,CHC,LAA,-,-,-,113,42,18,0.249,0.738,,,,,,1.74
Jordan Lyles,SP,31.1,R,R,TEX,BAL,1,"$7,000,000 ","$7,000,000 ",,,,,,180,5.15,1.39,10,,-0.07
Jorge Soler,DH,30,R,R,ATL,MIA,3,"$36,000,000 ","$12,000,000 ",115,70,27,0.223,0.748,,,,,,-1.35
Jose Iglesias,SS,32.2,R,R,BOS,COL,1,"$5,000,000 ","$5,000,000 ",131,48,9,0.271,0.7,,,,,,-1.09
Jose Quintana,SP,32.8,R,L,SF,PIT,1,"$2,000,000 ","$2,000,000 ",1,,,1,2,63,6.43,1.73,0,,-0.88
Josh Harrison,2B,34.7,R,R,OAK,CHW,1,"$5,500,000 ","$5,500,000 ",141,60,8,0.279,0.741,,,,,,2.55
Justin Upton,LF,34.7,R,R,LAA,SEA,1,"$700,000 ","$700,000 ",67,41,17,0.211,0.705,,,,,,-0.71
Justin Verlander,SP,38.7,R,R,HOU,HOU,2,"$50,000,000 ","$25,000,000 ",,,,,,,,,,,
