PLAYER,POS.,AGE,BATS,THROWS,FROM,TO,YRS,DOLLARS,AVG. SALARY,H,RBI,HR,AVG,OPS,IP,ERA,WHIP,W,SV,WAR
Jose Abreu,1B,35.8,R,R,CHW,HOU,3,"$58,500,000 ","$19,500,000 ",183,75,15,0.304,0.824,,,,,,4.19
Jesus Aguilar,1B,32.5,R,R,BAL,OAK,1,"$3,000,000 ","$3,000,000 ",109,51,16,0.235,0.661,,,,,,-0.67
Brian Anderson,3B,29.6,R,R,MIA,MIL,1,"$3,500,000 ","$3,500,000 ",75,28,8,0.222,0.657,,,,,,0.54
Nick Anderson,RP,32.3,R,R,TB,ATL,1,"$875,000 ","$875,000 ",,,,,,,,,,,
Tyler Anderson QO,SP,32.8,L,L,LAD,LAA,3,"$39,000,000 ","$13,000,000 ",,,,,,178.7,2.57,1,15,,4.26
Elvis Andrus,SS,34.4,R,R,CHW,CHW,1,"$3,000,000 ","$3,000,000 ",133,58,17,0.249,0.709,,,,,,1.26
Tucker Barnhart,C,31.9,L,R,DET,CHC,2,"$6,500,000 ","$3,250,000 ",62,16,1,0.221,0.554,1,,,,,-0.08
Chris Bassitt QO,SP,33.8,R,R,NYM,TOR,3,"$63,000,000 ","$21,000,000 ",,,,,,181.7,3.42,1.15,15,,3.18
Josh Bell,1B,30.2,,R,SD,CLE,2,"$33,000,000 ","$16,500,000 ",147,71,17,0.266,0.784,,,,,,3.5
Cody Bellinger,CF,27.3,L,L,LAD,CHC,1,"$17,500,000 ","$17,500,000 ",106,68,19,0.21,0.654,,,,,,1.13
Brandon Belt,1B,34.7,L,L,SF,TOR,1,"$9,300,000 ","$9,300,000 ",54,23,8,0.213,0.676,,,,,,0.35
Andrew Benintendi,LF,28.4,L,L,NYY,CHW,5,"$75,000,000 ","$15,000,000 ",140,51,5,0.304,0.772,,,,,,2.52
Xander Bogaerts QO,SS,30.2,R,R,BOS,SD,11,"$280,000,000 ","$25,454,545 ",171,73,15,0.307,0.833,,,,,,5.42
Brad Boxberger,RP,34.5,R,R,MIL,CHC,1,"$2,800,000 ","$2,800,000 ",,,,,,64,2.95,1.23,4,1,1
Matt Boyd,SP,31.8,L,L,SEA,DET,1,"$10,000,000 ","$10,000,000 ",,,,,,13.3,1.35,0.98,2,,0.43
Michael Brantley,LF,35.6,L,L,HOU,HOU,1,"$12,000,000 ","$12,000,000 ",70,26,5,0.288,0.786,,,,,,1.3
Jake Brentz,RP,28.5,L,L,KC,KC,2,"$1,900,000 ","$950,000 ",,,,,,5.3,23.63,3.94,0,0,-1.31
Jeimer Candelario,3B,29,,R,DET,WSH,1,"$5,000,000 ","$5,000,000 ",93,50,13,0.217,0.633,,,,,,0.29
Matt Carpenter,3B,37,L,R,NYY,SD,2,"$12,000,000 ","$6,000,000 ",39,37,15,0.305,1.139,,,,,,2.36
Curt Casali,C,34.1,R,R,SEA,CIN,1,"$3,250,000 ","$3,250,000 ",30,17,5,0.203,0.649,,,,,,1.14
Miguel Castro,RP,27.9,R,R,NYY,ARI,1,"$3,500,000 ","$3,500,000 ",,,,,,29,4.03,1.45,5,0,-0.34
Andrew Chafin,RP,32.6,R,L,DET,ARI,1,"$6,250,000 ","$6,250,000 ",,,,,,57.3,2.83,1.17,2,3,0.29
Yu-Cheng Chang,SS,27.4,R,R,BOS,BOS,1,"$850,000 ","$850,000 ",35,15,4,0.208,0.604,2,,,,,-0.25
Aroldis Chapman,RP,34.8,L,L,NYY,KC,1,"$3,750,000 ","$3,750,000 ",,,,,,36.3,4.46,1.43,4,9,-0.25
Mike Clevinger,SP,31.9,R,R,SD,CHW,1,"$12,000,000 ","$12,000,000 ",,,,,,114.3,4.33,1.2,7,,0.62
Michael Conforto,RF,29.8,L,R,NYM,SF,2,"$36,000,000 ","$18,000,000 ",,,,,,,,,,,
Willson Contreras QO,C,30.5,R,R,CHC,STL,5,"$87,500,000 ","$17,500,000 ",101,55,22,0.243,0.815,,,,,,3.72
Franchy Cordero,RF,28.5,L,R,BAL,NYY,1,"$1,000,000 ","$1,000,000 ",53,29,8,0.219,0.697,,,,,,-0.19
Carlos Correa,SS,28.2,R,R,MIN,MIN,6,"$200,000,000 ","$33,333,333 ",152,64,22,0.291,0.833,,,,,,5.55
Nelson Cruz,DH,42.5,R,R,WSH,SD,1,"$1,000,000 ","$1,000,000 ",105,64,10,0.234,0.65,,,,,,0.14
Johnny Cueto,SP,36.8,R,R,CHW,MIA,1,"$8,500,000 ","$8,500,000 ",,,,,,158.3,3.35,1.23,8,,3.38
Zach Davies,SP,29.8,R,R,ARI,ARI,1,"$5,000,000 ","$5,000,000 ",,,,,,134.3,4.09,1.3,2,,0.61
Jacob deGrom QO,SP,34.4,L,R,NYM,TEX,5,"$185,000,000 ","$37,000,000 ",,,,,,64.3,3.08,0.75,5,,1.42
Chris Devenski,RP,32.8,R,R,LAA,TB,1,"$720,000 ","$720,000 ",,,,,,14.7,8.59,1.5,2,0,-0.36
Aledmys Diaz,SS,32.3,R,R,HOU,OAK,2,"$14,500,000 ","$7,250,000 ",74,38,12,0.243,0.69,,,,,,1.15
Edwin Diaz,RP,28.6,R,R,NYM,NYM,5,"$102,000,000 ","$20,400,000 ",,,,,,62,1.31,0.84,3,32,3.08
Corey Dickerson,LF,33.6,L,R,STL,WSH,1,"$2,250,000 ","$2,250,000 ",75,36,6,0.267,0.699,1,,,,,-0.02
Jake Diekman,RP,36.2,L,L,CHW,TB,1,"$720,000 ","$720,000 ",,,,,,57.7,4.99,1.63,5,1,0.26
Brandon Drury,2B,30.2,R,R,SD,LAA,2,"$17,000,000 ","$8,500,000 ",136,87,28,0.263,0.812,,,,,,2.28
Adam Duvall,RF,34.3,R,R,ATL,BOS,1,"$7,000,000 ","$7,000,000 ",61,36,12,0.213,0.68,,,,,,-0.17
Zach Eflin,SP,28.6,R,R,PHI,TB,3,"$40,000,000 ","$13,333,333 ",,,,,,75.7,4.04,1.12,3,,0.94
Adam Engel,RF,31,R,R,CHW,SD,1,"$1,000,000 ","$1,000,000 ",55,17,2,0.224,0.579,,,,,,0.15
Nathan Eovaldi QO,SP,32.8,R,R,BOS,TEX,2,"$34,000,000 ","$17,000,000 ",,,,,,109.3,3.87,1.24,6,,1.13
Carlos Estevez,RP,29.9,R,R,COL,LAA,2,"$13,500,000 ","$6,750,000 ",,,,,,57,3.47,1.18,4,2,1.15
Jeurys Familia,RP,33.4,R,R,ARI,OAK,1,"$1,500,000 ","$1,500,000 ",,,,,,44.3,6.09,1.81,2,0,-0.57
Adam Frazier,2B,31,L,R,SEA,BAL,1,"$8,000,000 ","$8,000,000 ",129,42,3,0.238,0.612,,,,,,0.69
Shintaro Fujinami,RP,28.7,,,,OAK,1,"$3,250,000 ","$3,250,000 ",,,,,,,,,,,
Michael Fulmer,RP,29.8,R,R,MIN,CHC,1,"$4,000,000 ","$4,000,000 ",,,,,,63.7,3.39,1.37,5,3,0.36
Joey Gallo,1B,29.1,L,R,LAD,MIN,1,"$11,000,000 ","$11,000,000 ",56,47,19,0.16,0.637,,,,,,0.04
Jarlin Garcia,RP,29.8,L,L,SF,PIT,1,"$2,500,000 ","$2,500,000 ",,,,,,65,3.74,1.2,1,1,0.38
Stone Garrett,LF,27,R,R,ARI,WSH,1,"$720,000 ","$720,000 ",21,10,4,0.276,0.848,,,,,,0.56
Kyle Gibson,SP,35.1,R,R,PHI,BAL,1,"$10,000,000 ","$10,000,000 ",,,,,,167.7,5.05,1.34,10,,0.67
Mychal Givens,RP,32.6,R,R,NYM,BAL,1,"$5,000,000 ","$5,000,000 ",,,,,,61.3,3.38,1.32,7,2,0.96
Trevor Gott,RP,30.2,R,R,MIL,SEA,1,"$1,200,000 ","$1,200,000 ",,,,,,45.7,4.14,1.03,3,0,-0.03
Chad Green,RP,31.7,L,R,NYY,TOR,2,"$8,500,000 ","$4,250,000 ",,,,,,15,3,1.2,1,1,0.06
Zack Greinke,SP,39.2,R,R,KC,KC,1,"$8,500,000 ","$8,500,000 ",,,,,,137,3.68,1.34,4,,2.45
Robbie Grossman,RF,33.4,,L,ATL,TEX,1,"$2,000,000 ","$2,000,000 ",86,45,7,0.209,0.621,,,,,,0.08
Brad Hand,RP,32.9,L,L,PHI,COL,1,"$2,000,000 ","$2,000,000 ",,,,,,45,2.8,1.33,3,5,0.91
Mitch Haniger,LF,31.9,R,R,SEA,SF,3,"$43,500,000 ","$14,500,000 ",55,34,11,0.246,0.737,,,,,,1.02
Josh Harrison,2B,35.5,R,R,CHW,PHI,1,"$2,000,000 ","$2,000,000 ",99,27,7,0.256,0.687,3,,,,,1.73
Andrew Heaney,SP,31.5,L,L,LAD,TEX,2,"$25,000,000 ","$12,500,000 ",,,,,,72.7,3.1,1.09,4,,0.83
Austin Hedges,C,30.3,R,R,CLE,PIT,1,"$5,000,000 ","$5,000,000 ",48,30,7,0.163,0.489,,,,,,-0.36
Aaron Hicks,CF,33.6,,R,NYY,BAL,1,"$720,000 ","$720,000 ",83,40,8,0.216,0.642,,,,,,2.1
Rich Hill,SP,42.8,L,L,BOS,PIT,1,"$8,000,000 ","$8,000,000 ",,,,,,124.3,4.27,1.3,8,,0.85
Brent Honeywell,RP,27.8,R,R,OAK,SD,1,-,-,,,,,,,,,,,
Eric Hosmer,1B,33.2,L,L,BOS,CHC,1,"$720,000 ","$720,000 ",102,44,8,0.268,0.716,,,,,,1.07
Luke Jackson,RP,31.3,R,R,ATL,SF,2,"$11,500,000 ","$5,750,000 ",,,,,,,,,,,
Kenley Jansen,RP,35.2,,R,ATL,BOS,2,"$32,000,000 ","$16,000,000 ",,,,,,64,3.38,1.05,5,41,0.89
Pierce Johnson,RP,31.6,R,R,SD,COL,1,"$5,000,000 ","$5,000,000 ",,,,,,14.3,5.02,1.54,1,0,-0.03
Aaron Judge QO,CF,30.6,R,R,NYY,NYY,9,"$360,000,000 ","$40,000,000 ",177,131,62,0.311,1.111,,,,,,10.53
Tommy Kahnle,RP,33.2,R,R,LAD,NYY,2,"$11,500,000 ","$5,750,000 ",,,,,,12.7,2.84,0.63,0,1,0.31
Carson Kelly,C,29.1,R,R,ARI,DET,1,"$720,000 ","$720,000 ",67,35,7,0.211,0.616,4.7,,,,,1.2
Clayton Kershaw,SP,34.7,L,L,LAD,LAD,1,"$20,000,000 ","$20,000,000 ",,,,,,126.3,2.28,0.94,12,,3.54
Kevin Kiermaier,CF,32.6,L,R,TB,TOR,1,"$9,000,000 ","$9,000,000 ",47,22,7,0.228,0.65,,,,,,1.1
Craig Kimbrel,RP,34.5,R,R,LAD,PHI,1,"$10,000,000 ","$10,000,000 ",,,,,,60,3.75,1.32,6,22,0.12
Corey Kluber,SP,36.7,R,R,TB,BOS,1,"$10,000,000 ","$10,000,000 ",,,,,,164,4.34,1.21,10,,0.8
Tommy La Stella,2B,33.9,L,R,SF,SEA,1,"$720,000 ","$720,000 ",43,14,2,0.239,0.634,,,,,,-0.73
Evan Longoria,3B,37.2,R,R,SF,ARI,1,"$4,000,000 ","$4,000,000 ",65,42,14,0.244,0.766,,,,,,0.73
Michael Lorenzen,SP,30.9,R,R,LAA,DET,1,"$8,500,000 ","$8,500,000 ",,,,,,97.7,4.24,1.28,8,,0.62
Seth Lugo,SP,33.1,R,R,NYM,SD,2,"$15,000,000 ","$7,500,000 ",,,,,,65,3.6,1.17,4,,0.74
Jordan Luplow,RF,29.2,R,R,ARI,ATL,1,"$1,400,000 ","$1,400,000 ",36,28,11,0.176,0.635,,,,,,0.19
Jordan Lyles,SP,32.2,R,R,BAL,KC,2,"$17,000,000 ","$8,500,000 ",,,,,,179,4.43,1.39,12,,1.03
Luke Maile,C,31.8,R,R,CLE,CIN,1,"$1,175,000 ","$1,175,000 ",40,17,3,0.221,0.627,,,,,,0.6
Sean Manaea,SP,30.8,R,L,SD,SF,2,"$25,000,000 ","$12,500,000 ",,,,,,158,4.96,1.3,8,,-1.18
Trey Mancini,OF,30.8,R,R,HOU,CHC,2,"$14,000,000 ","$7,000,000 ",124,63,18,0.239,0.71,,,,,,1.87
Chris Martin,RP,36.5,R,R,LAD,BOS,2,"$13,500,000 ","$6,750,000 ",,,,,,56,3.05,0.98,4,2,0.02
J.D. Martinez,DH,35.3,R,R,BOS,LAD,1,"$10,000,000 ","$10,000,000 ",146,62,16,0.274,0.789,,,,,,0.84
