"PlayerID","Date","Player","Position","TERMS","dummy_Pos","contractYears","dummy_contract","contract_value","dummy_value"
11,"MAY 30 2023","Aaron Hicks","CF","Signed a 1 year $720,000 contract with Baltimore (BAL)",3,1,1,NA,NA
12,"DEC 20 2022","Aaron Judge","CF","Signed a 9 year $360 million contract with New York (NYY)",3,9,2,360,3
13,"NOV 22 2021","Aaron Loup","RP","Signed a 2 year $17 million contract with Los Angeles (LAA)",1,2,1,17,3
23,"JAN 18 2023","Adam Duvall","RF","Signed a 1 year $7 million contract with Boston (BOS)",3,1,1,7,3
25,"JAN 6 2023","Adam Engel","RF","Signed a 1 year $1 million contract with San Diego (SD)",3,1,1,1,1
26,"DEC 16 2022","Adam Frazier","2B","Signed a 1 year $8 million contract with Baltimore (BAL)",2,1,1,8,3
30,"DEC 20 2022","Adam Ottavino","RP","Signed a 2 year $14.5 million contract with New York (NYM)",1,2,1,14.5,3
30,"MAR 13 2022","Adam Ottavino","RP","Signed a 1 year $4 million contract with New York (NYM)",1,1,1,4,2
45,"MAR 28 2022","Albert Pujols","DH","Signed a 1 year $2.5 million contract with St. Louis (STL)",4,1,1,2.5,1
51,"DEC 7 2022","Aledmys Diaz","SS","Signed a 2 year $14.5 million contract with Oakland (OAK)",2,2,1,14.5,3
58,"NOV 29 2021","Alex Cobb","SP","Signed a 2 year $20 million contract with San Francisco (SF)",1,2,1,20,3
59,"MAR 12 2022","Alex Colome","RP","Signed a 1 year $4.1 million contract with Colorado (COL)",1,1,1,4.1,3
61,"MAR 16 2022","Alex Dickerson","LF","Signed a 1 year $1 million contract with Atlanta (ATL)",3,1,1,1,1
66,"FEB 11 2023","Alex Reyes","RP","Signed a 1 year $1.1 million contract with Los Angeles (LAD), including a club option for 2024",1,1,1,1.1,1
70,"NOV 29 2021","Alex Wood","SP","Signed a 2 year $25 million contract with San Francisco (SF)",1,2,1,25,3
79,"MAR 11 2022","Andrelton Simmons","SS","Signed a 1 year $4 million contract with Chicago (CHC)",2,1,1,4,2
82,"DEC 16 2022","Andrew Benintendi","LF","Signed a 5 year $75 million contract with Chicago (CHW)",3,5,2,75,3
83,"FEB 11 2023","Andrew Chafin","RP","Signed a 1 year $6.25 million contract with Arizona (ARI), including a club option for 2024",1,1,1,6.25,3
83,"MAR 16 2022","Andrew Chafin","RP","Signed a 2 year $13 million contract with Detroit (DET)",1,2,1,13,3
84,"DEC 6 2022","Andrew Heaney","SP","Signed a 2 year $25 million contract with Texas (TEX), including a player opt-out available after 2023",1,2,1,25,3
84,"NOV 8 2021","Andrew Heaney","SP","Signed a 1 year $8.5 million contract with Los Angeles (LAD)",1,1,1,8.5,3
86,"APR 6 2022","Andrew Knapp","C","Signed a 1 year $800,000 contract with Pittsburgh (PIT)",2,1,1,NA,NA
88,"JAN 13 2023","Andrew McCutchen","RF","Signed a 1 year $5 million contract with Pittsburgh (PIT)",3,1,1,5,3
88,"MAR 14 2022","Andrew McCutchen","RF","Signed a 1 year $8.5 million contract with Milwaukee (MIL)",3,1,1,8.5,3
92,"MAR 11 2022","Andrew Vasquez","RP","Signed a contract with Toronto (TOR)",1,NA,NA,NA,NA
105,"AUG 28 2022","Anthony Banda","RP","Signed a contract with New York (NYY)",1,NA,NA,NA,NA
110,"NOV 22 2021","Anthony DeSclafani","SP","Signed a 3 year $36 million contract with San Francisco (SF)",1,3,2,36,3
115,"NOV 15 2022","Anthony Rizzo","1B","Signed a 2 year $40 million contract with New York (NYY), including a 3rd year club option",2,2,1,40,3
115,"MAR 16 2022","Anthony Rizzo","1B","Signed a 2 year $32 million contract with New York (NYY)",2,2,1,32,3
121,"MAR 17 2022","Archie Bradley","RP","Signed a 1 year $3.75 million contract with Los Angeles (LAA)",1,1,1,3.75,1
123,"JAN 19 2023","Aroldis Chapman","RP","Signed a 1 year $3.75 million contract with Kansas City (KC)",1,1,1,3.75,1
136,"DEC 20 2022","Austin Hedges","C","Signed a 1 year $5 million contract with Pittsburgh (PIT)",2,1,1,5,3
145,"APR 16 2023","Austin Wynns","C","Signed a 1 year contract with Los Angeles (LAD)",2,1,1,NA,NA
146,"NOV 28 2021","Avisail Garcia","RF","Signed a 4 year $53 million contract with Miami (MIA)",3,4,2,53,3
165,"DEC 15 2022","Brad Boxberger","RP","Signed a 1 year $2.8 million contract with Chicago (CHC), including a mutual option for 2024",1,1,1,2.8,1
165,"MAR 13 2022","Brad Boxberger","RP","Signed a 1 year $2.5 million contract with Milwaukee (MIL)",1,1,1,2.5,1
