"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age","PosNumber"
30,"Adam Ottavino","RP",37,"","R","NYM","NYM",2,"$14,500,000 ","$7,250,000 ",65.7,2.06,0.98,5,3,2.14,1,2,7250000,3,3,1
83,"Andrew Chafin","RP",32.6,"R","L","DET","ARI",1,"$6,250,000 ","$6,250,000 ",57.3,2.83,1.17,2,3,0.29,1,1,6250000,3,2,1
84,"Andrew Heaney","SP",31.5,"L","L","LAD","TEX",2,"$25,000,000 ","$12,500,000 ",72.7,3.1,1.09,4,0,0.83,1,2,12500000,3,2,1
123,"Aroldis Chapman","RP",34.8,"L","L","NYY","KC",1,"$3,750,000 ","$3,750,000 ",36.3,4.46,1.43,4,9,-0.25,1,1,3750000,1,3,1
165,"Brad Boxberger","RP",34.5,"R","R","MIL","CHC",1,"$2,800,000 ","$2,800,000 ",64,2.95,1.23,4,1,1,1,1,2800000,1,3,1
167,"Brad Hand","RP",32.9,"L","L","PHI","COL",1,"$2,000,000 ","$2,000,000 ",45,2.8,1.33,3,5,0.91,1,1,2e+06,1,2,1
238,"Carlos Estevez","RP",29.9,"R","R","COL","LAA",2,"$13,500,000 ","$6,750,000 ",57,3.47,1.18,4,2,1.15,1,2,6750000,3,2,1
250,"Chad Green","RP",31.7,"L","R","NYY","TOR",2,"$8,500,000 ","$4,250,000 ",15,3,1.2,1,1,0.06,1,2,4250000,2,2,1
268,"Chris Devenski","RP",32.8,"R","R","LAA","TB",1,"$720,000 ","$720,000 ",14.7,8.59,1.5,2,0,-0.36,1,1,720000,1,2,1
272,"Chris Martin","RP",36.5,"R","R","LAD","BOS",2,"$13,500,000 ","$6,750,000 ",56,3.05,0.98,4,2,0.02,1,2,6750000,3,3,1
287,"Clayton Kershaw","SP",34.7,"L","L","LAD","LAD",1,"$20,000,000 ","$20,000,000 ",126.3,2.28,0.94,12,0,3.54,1,1,2e+07,3,3,1
315,"Corey Kluber","SP",36.7,"R","R","TB","BOS",1,"$10,000,000 ","$10,000,000 ",164,4.34,1.21,10,0,0.8,1,1,1e+07,3,3,1
321,"Craig Kimbrel","RP",34.5,"R","R","LAD","PHI",1,"$10,000,000 ","$10,000,000 ",60,3.75,1.32,6,22,0.12,1,1,1e+07,3,3,1
376,"David Robertson","RP",37.6,"R","R","PHI","NYM",1,"$10,000,000 ","$10,000,000 ",63.7,2.4,1.16,4,20,1.94,1,1,1e+07,3,3,1
418,"Drew Smyly","SP",33.5,"L","L","CHC","CHC",2,"$19,000,000 ","$9,500,000 ",106.3,3.47,1.19,7,0,1.86,1,2,9500000,3,2,1
442,"Edwin Diaz","RP",28.6,"R","R","NYM","NYM",5,"$102,000,000 ","$20,400,000 ",62,1.31,0.84,3,32,3.08,1,2,20400000,3,2,1
459,"Erasmo Ramirez","RP",32.6,"R","R","WSH","WSH",1,"$1,000,000 ","$1,000,000 ",86.3,2.92,1.08,4,0,1.36,1,1,1e+06,1,2,1
600,"Jake Brentz","RP",28.5,"L","L","KC","KC",2,"$1,900,000 ","$950,000 ",5.3,23.63,3.94,0,0,-1.31,1,2,950000,1,2,1
605,"Jake Diekman","RP",36.2,"L","L","CHW","TB",1,"$720,000 ","$720,000 ",57.7,4.99,1.63,5,1,0.26,1,1,720000,1,3,1
631,"Jameson Taillon","SP",31,"R","R","NYY","CHC",4,"$68,000,000 ","$17,000,000 ",177.3,3.91,1.13,13,0,1.36,1,2,1.7e+07,3,2,1
637,"Jarlin Garcia","RP",29.8,"L","L","SF","PIT",1,"$2,500,000 ","$2,500,000 ",65,3.74,1.2,1,1,0.38,1,1,2500000,1,2,1
672,"Jeurys Familia","RP",33.4,"R","R","ARI","OAK",1,"$1,500,000 ","$1,500,000 ",44.3,6.09,1.81,2,0,-0.57,1,1,1500000,1,2,1
697,"Joely Rodriguez","RP",31,"L","L","NYM","BOS",1,"$2,000,000 ","$2,000,000 ",50.3,4.47,1.35,2,0,-0.25,1,1,2e+06,1,2,1
717,"Johnny Cueto","SP",36.8,"R","R","CHW","MIA",1,"$8,500,000 ","$8,500,000 ",158.3,3.35,1.23,8,0,3.38,1,1,8500000,3,3,1
