"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
11,"Aaron Hicks","CF",33.6,"","R","NYY","BAL","1","$720,000 ","$720,000 ",83,40,8,0.216,0.642,NA,NA,NA,NA,NA,2.1,3,1,720000,1,2
23,"Adam Duvall","RF",34.3,"R","R","ATL","BOS","1","$7,000,000 ","$7,000,000 ",61,36,12,0.213,0.68,NA,NA,NA,NA,NA,-0.17,3,1,7e+06,3,3
25,"Adam Engel","RF",31,"R","R","CHW","SD","1","$1,000,000 ","$1,000,000 ",55,17,2,0.224,0.579,NA,NA,NA,NA,NA,0.15,3,1,1e+06,1,2
26,"Adam Frazier","2B",31,"L","R","SEA","BAL","1","$8,000,000 ","$8,000,000 ",129,42,3,0.238,0.612,NA,NA,NA,NA,NA,0.69,2,1,8e+06,3,2
30,"Adam Ottavino","RP",37,"","R","NYM","NYM","2","$14,500,000 ","$7,250,000 ",NA,NA,NA,NA,NA,65.7,2.06,0.98,5,3,2.14,1,2,7250000,3,3
51,"Aledmys Diaz","SS",32.3,"R","R","HOU","OAK","2","$14,500,000 ","$7,250,000 ",74,38,12,0.243,0.69,NA,NA,NA,NA,NA,1.15,2,2,7250000,3,2
66,"Alex Reyes","RP",28.4,"R","R","STL","LAD","1","$1,100,000 ","$1,100,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1100000,1,2
82,"Andrew Benintendi","LF",28.4,"L","L","NYY","CHW","5","$75,000,000 ","$15,000,000 ",140,51,5,0.304,0.772,NA,NA,NA,NA,NA,2.52,3,2,1.5e+07,3,2
83,"Andrew Chafin","RP",32.6,"R","L","DET","ARI","1","$6,250,000 ","$6,250,000 ",NA,NA,NA,NA,NA,57.3,2.83,1.17,2,3,0.29,1,1,6250000,3,2
84,"Andrew Heaney","SP",31.5,"L","L","LAD","TEX","2","$25,000,000 ","$12,500,000 ",NA,NA,NA,NA,NA,72.7,3.1,1.09,4,NA,0.83,1,2,12500000,3,2
88,"Andrew McCutchen","RF",36.2,"R","R","MIL","PIT","1","$5,000,000 ","$5,000,000 ",122,69,17,0.237,0.7,NA,NA,NA,NA,NA,1.1,3,1,5e+06,2,3
123,"Aroldis Chapman","RP",34.8,"L","L","NYY","KC","1","$3,750,000 ","$3,750,000 ",NA,NA,NA,NA,NA,36.3,4.46,1.43,4,9,-0.25,1,1,3750000,1,3
136,"Austin Hedges","C",30.3,"R","R","CLE","PIT","1","$5,000,000 ","$5,000,000 ",48,30,7,0.163,0.489,NA,NA,NA,NA,NA,-0.36,2,1,5e+06,2,2
145,"Austin Wynns","C",32.3,"R","R","SF","LAD","1","$720,000 ","$720,000 ",42,21,3,0.259,0.67,2,NA,NA,NA,NA,0.55,2,1,720000,1,2
165,"Brad Boxberger","RP",34.5,"R","R","MIL","CHC","1","$2,800,000 ","$2,800,000 ",NA,NA,NA,NA,NA,64,2.95,1.23,4,1,1,1,1,2800000,1,3
167,"Brad Hand","RP",32.9,"L","L","PHI","COL","1","$2,000,000 ","$2,000,000 ",NA,NA,NA,NA,NA,45,2.8,1.33,3,5,0.91,1,1,2e+06,1,2
176,"Brandon Belt","1B",34.7,"L","L","SF","TOR","1","$9,300,000 ","$9,300,000 ",54,23,8,0.213,0.676,NA,NA,NA,NA,NA,0.35,2,1,9300000,3,3
181,"Brandon Drury","2B",30.2,"R","R","SD","LAA","2","$17,000,000 ","$8,500,000 ",136,87,28,0.263,0.812,NA,NA,NA,NA,NA,2.28,2,2,8500000,3,2
198,"Brett Phillips","RF",28.6,"L","R","BAL","LAA","1","$1,200,000 ","$1,200,000 ",29,15,5,0.144,0.466,4,NA,NA,NA,NA,0.23,3,1,1200000,1,2
201,"Brian Anderson","3B",29.6,"R","R","MIA","MIL","1","$3,500,000 ","$3,500,000 ",75,28,8,0.222,0.657,NA,NA,NA,NA,NA,0.54,2,1,3500000,1,2
237,"Carlos Correa","SS",28.2,"R","R","MIN","MIN","6","$200,000,000 ","$33,333,333 ",152,64,22,0.291,0.833,NA,NA,NA,NA,NA,5.55,2,2,33333333,3,2
238,"Carlos Estevez","RP",29.9,"R","R","COL","LAA","2","$13,500,000 ","$6,750,000 ",NA,NA,NA,NA,NA,57,3.47,1.18,4,2,1.15,1,2,6750000,3,2
242,"Carlos Santana","1B",36.6,"","R","SEA","PIT","1","$6,725,000 ","$6,725,000 ",87,60,19,0.202,0.692,NA,NA,NA,NA,NA,0.73,2,1,6725000,3,3
244,"Carson Kelly","C",29.1,"R","R","ARI","DET","1","$720,000 ","$720,000 ",67,35,7,0.211,0.616,4.7,NA,NA,NA,NA,1.2,2,1,720000,1,2
250,"Chad Green","RP",31.7,"L","R","NYY","TOR","2","$8,500,000 ","$4,250,000 ",NA,NA,NA,NA,NA,15,3,1.2,1,1,0.06,1,2,4250000,2,2
268,"Chris Devenski","RP",32.8,"R","R","LAA","TB","1","$720,000 ","$720,000 ",NA,NA,NA,NA,NA,14.7,8.59,1.5,2,0,-0.36,1,1,720000,1,2
