"Player","AvgSalary","LinearPredictedSalary","Linear_Model_Error","Linear_Model_Difference","ExpPredictedSalary","Exp_Model_Error","Exp_Model_Difference"
"Aaron Hicks",740000,10024442.886,12.5465444405405,1.72502060428508,4643867.54665008,5.27549668466227,0.725326445222235
"Aaron Judge",4e+07,31665794.144,0.208355146400001,0.232585320669269,36776238.439138,0.0805940390215501,0.0899665342264795
"Abraham Almonte",990000,2772759.686,1.80076735959596,0.94758094312165,1811221.06982846,0.829516232149962,0.436499345352273
"Adam Duvall",7e+06,11260007.044,0.608572434857145,0.466594238845028,10022684.1801755,0.43181202573936,0.331071524002367
"Adam Engel",1e+06,828637.907999992,0.171362092000008,0.18742047427796,1420909.04885119,0.420909048851193,0.460352535632981
"Adam Frazier",4500000,6172151.69800001,0.371589266222225,0.313367303111589,2891870.55043904,0.357362099902435,0.301369301162075
"Andrew Benintendi",1.5e+07,5819498.292,0.6120334472,0.881913827051985,4162311.38778343,0.722512574147771,1.04110948882769
"Andrew Knapp",8e+05,1842741.822,1.3034272775,0.78913635325214,879928.910791696,0.0999111384896198,0.0604893827511357
"Andrew Knizner",1825000,2136266.37200001,0.170556916164388,0.157154981649393,1369784.79291282,0.249432990184758,0.229833171687139
"Andrew McCutchen",5e+06,13081193.7920001,1.61623875840001,0.89387834508754,6058040.16122411,0.211608032244822,0.117032113409706
"Anthony Rizzo",2e+07,16268805.5460001,0.186559722699997,0.205752265498108,32536571.7741687,0.626828588708437,0.691314289811309
"Austin Hedges",4e+06,6577196.96200001,0.644299240500003,0.487311897709561,1409617.14906666,0.647595712733335,0.489805164873007
"Austin Romine",1500000,1768161.66,0.178774439999998,0.164105505111394,1333856.8621993,0.110762091867135,0.10167375735061
"Austin Wynns",720000,88024.3920000046,0.877743899999994,1.56424883767616,891810.459827019,0.238625638648638,0.425260577596569
"Avisaíl García",13250000,6470516.34599999,0.511659143698114,0.687556404208973,4682819.76338859,0.646579640498975,0.868859626827078
"Blake Perkins",720000,4550930.214,5.32073640833334,1.45360688093527,1791750.08267821,1.48854178149752,0.406664493425302
"Brad Miller",5e+06,3069478.51200001,0.386104297599998,0.478474906433951,2632506.25748554,0.473498748502892,0.586777383196149
"Brandon Belt",9300000,7807075.66200006,0.160529498709671,0.174538812769288,7734801.66175572,0.168300896585406,0.182988415924418
"Brandon Drury",8500000,4265639.06799999,0.49816010964706,0.663399757653248,3737560.18663905,0.560287036865994,0.746134179102573
"Brandon Nimmo",20250000,18562690.54,0.0833239239506162,0.0869462764124044,18200386.7168525,0.101215470772718,0.105615624922227
"Brett Phillips",1200000,2929707.646,1.44142303833333,0.837690119626448,990842.529420101,0.174297892149916,0.101294081087066
"Brian Anderson",3500000,9615171.584,1.74719188114286,0.932533980944675,6144708.72786728,0.755631065104937,0.403305242471051
"Carlos Correa",33333333,23530530.924,0.294084065220842,0.344781427062422,17657858.7993625,0.470264230721768,0.551333417004099
"Carlos Santana",6725000,6774399.86400002,0.0073457046840182,0.0073188237251585,4861853.49138883,0.277047807971921,0.276033975936927
"Carson Kelly",720000,2344124.78199999,2.25572886388888,1.0600904973197,1956392.35509367,1.71721160429676,0.807011752495707
"Chris Taylor",1.5e+07,14078139.968,0.061457335466669,0.0634057084128852,8266353.18021608,0.448909787985595,0.463141509545947
"Clint Frazier",1500000,6524955.17,3.34997011333333,1.25233227190726,3308810.44306511,1.20587362871008,0.450796398172306
