"Player","PlayerID","WAR","W","L","W.L.","Dec","ERA","G","GS","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","ERA.","FIP","WHIP","H9","HR9","BB9","SO9","SO.BB","WAA","Years","Dollars","AvgSalary","Season"
"Aaron Loup",11,6.1,23,30,0.434,53,3.43,591,2,0,0,8,515,486,233,196,39,162,21,480,50,2,16,2197,122,3.5,1.258,8.5,0.7,2.8,8.4,2.96,1.6,2,1.7e+07,8500000,2021
"Aaron Nola",12,32,90,71,0.559,161,3.72,235,235,5,3,0,1422,1234,620,588,169,371,16,1582,49,2,15,5815,113,3.38,1.129,7.8,1.1,2.3,10,4.26,20.2,7,1.72e+08,24571429,2023
"Adam Cimber",20,3,22,24,0.478,46,3.49,323,0,0,0,7,299.1,289,132,116,26,74,16,225,29,0,3,1251,122,3.83,1.213,8.7,0.8,2.2,6.8,3.04,0.7,1,1650000,1650000,2023
"Adam Kolarek",25,1.6,11,4,0.733,15,3.62,175,0,0,0,4,149.1,143,64,60,13,43,7,101,13,0,5,634,118,4.09,1.246,8.6,0.8,2.6,6.1,2.35,0.2,1,9e+05,9e+05,2023
"Adam Ottavino",27,14.9,39,41,0.488,80,3.42,664,3,0,0,45,687,579,279,261,66,303,31,789,43,5,61,2913,131,3.61,1.284,7.6,0.9,4,10.3,2.6,8.4,1,4500000,4500000,2023
"Adam Wainwright",28,40.6,200,128,0.61,328,3.53,478,411,28,11,3,2668.1,2577,1117,1047,233,736,40,2202,81,4,51,11116,114,3.54,1.242,8.7,0.8,2.5,7.4,2.99,19.1,1,8e+06,8e+06,2020
"Álex Claudio",58,6.3,16,10,0.615,26,3.59,356,2,0,0,14,348,358,151,139,31,95,12,249,14,5,5,1471,129,3.83,1.302,9.3,0.8,2.5,6.4,2.62,3.5,1,1125000,1125000,2020
"Alex Cobb",59,19.7,77,75,0.507,152,3.85,230,230,6,2,0,1311.1,1293,613,561,139,380,15,1098,47,10,51,5515,106,3.82,1.276,8.9,1,2.6,7.5,2.89,7.9,2,2e+07,1e+07,2021
"Alex Reyes",66,2.7,16,11,0.593,27,2.86,101,7,0,0,31,145,98,55,46,12,97,3,177,3,2,16,624,142,3.87,1.345,6.1,0.7,6,11,1.82,1.7,1,1100000,1100000,2022
"Alex Wood",70,14.8,76,65,0.539,141,3.74,269,202,1,0,0,1218.2,1160,552,506,121,355,20,1140,68,6,38,5115,106,3.61,1.243,8.6,0.9,2.6,8.4,3.21,4.7,2,2.5e+07,12500000,2021
