"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age","PosNumber"
13,"Aaron Loup","RP",33.9,"L","L","NYM","LAA",2,"$17,000,000 ",8500000,56.7,0.95,0.94,6,0,2.79,1,2,8500000,3,2,1
30,"Adam Ottavino","RP",36.2,"","R","BOS","NYM",1,"$4,000,000 ",4e+06,62,4.21,1.45,7,11,0.81,1,1,4e+06,2,3,1
58,"Alex Cobb","SP",34.1,"R","R","LAA","SF",2,"$20,000,000 ",1e+07,93.3,3.76,1.26,8,NA,1.63,1,2,1e+07,3,3,1
59,"Alex Colome","RP",33.2,"R","R","MIN","COL",1,"$4,100,000 ",4100000,65,4.15,1.4,4,17,-0.65,1,1,4100000,2,2,1
70,"Alex Wood","SP",30.8,"R","L","SF","SF",2,"$25,000,000 ",12500000,138.7,3.83,1.18,10,NA,1.63,1,2,12500000,3,2,1
83,"Andrew Chafin","RP",31.7,"R","L","OAK","DET",2,"$13,000,000 ",6500000,68.7,1.84,0.93,2,5,1.48,1,2,6500000,3,2,1
84,"Andrew Heaney","SP",30.4,"L","L","NYY","LAD",1,"$8,500,000 ",8500000,129.7,5.83,1.32,8,NA,0.8,1,1,8500000,3,2,1
105,"Anthony Banda","RP",29,"L","L","SEA","NYY",1,"$700,000 ",7e+05,33.7,4.28,1.55,2,0,-0.33,1,1,7e+05,1,2,1
110,"Anthony DeSclafani","SP",31.6,"R","R","SF","SF",3,"$36,000,000 ",1.2e+07,167.7,3.17,1.09,13,NA,4.17,1,2,1.2e+07,3,2,1
121,"Archie Bradley","RP",29.6,"R","R","PHI","LAA",1,"$3,750,000 ",3750000,51,3.71,1.43,7,2,0.68,1,1,3750000,1,2,1
165,"Brad Boxberger","RP",33.8,"R","R","MIL","MIL",1,"$2,500,000 ",2500000,64.7,3.34,1.07,5,4,1.16,1,1,2500000,1,2,1
167,"Brad Hand","RP",31.9,"L","L","NYM","PHI",1,"$6,000,000 ",6e+06,64.7,3.9,1.27,6,21,0.27,1,1,6e+06,3,2,1
208,"Brooks Raley","RP",33.4,"L","L","HOU","TB",2,"$10,000,000 ",5e+06,49,4.78,1.2,2,2,-0.43,1,2,5e+06,2,2,1
218,"Bryan Shaw","RP",34.3,"","R","CLE","CLE",1,"$3,000,000 ",3e+06,77.3,3.49,1.38,6,2,1.25,1,1,3e+06,1,3,1
241,"Carlos Rodon","SP",29.2,"L","L","CHW","SF",2,"$44,000,000 ",2.2e+07,132.7,2.37,0.96,13,NA,5.07,1,2,2.2e+07,3,2,1
251,"Chad Kuhl","RP",29.5,"R","R","PIT","COL",1,"$3,000,000 ",3e+06,80.3,4.82,1.43,5,0,0.12,1,1,3e+06,1,2,1
266,"Chris Archer","SP",33.5,"R","R","TB","MIN",1,"$3,750,000 ",3750000,19.3,4.66,1.35,1,NA,-0.11,1,1,3750000,1,2,1
272,"Chris Martin","RP",35.8,"R","R","ATL","CHC",1,"$2,750,000 ",2750000,43.3,3.95,1.27,2,1,0.41,1,1,2750000,1,3,1
287,"Clayton Kershaw","SP",33.9,"L","L","LAD","LAD",1,"$17,000,000 ",1.7e+07,121.7,3.55,1.02,10,NA,2.11,1,1,1.7e+07,3,2,1
301,"Collin McHugh","RP",34.7,"R","R","TB","ATL",2,"$10,000,000 ",5e+06,64,1.55,0.94,6,1,1.96,1,2,5e+06,2,3,1
315,"Corey Kluber","SP",35.6,"R","R","NYY","TB",1,"$8,000,000 ",8e+06,80,3.83,1.34,5,NA,1.44,1,1,8e+06,3,3,1
316,"Corey Knebel","RP",30,"R","R","LAD","PHI",1,"$10,000,000 ",1e+07,25.7,2.46,0.97,4,3,0.71,1,1,1e+07,3,2,1
343,"Daniel Hudson","RP",34.7,"R","R","SD","LAD",1,"$7,000,000 ",7e+06,51.7,3.31,1.08,5,0,0.98,1,1,7e+06,3,3,1
