"PlayerID","PLAYER","AGE","AVG. SALARY","H","RBI","HR","AVG","OPS","WAR","Predicted_Salary","Model_Error","Model_Difference"
72,"Bryce Harper",26.3,25384615,137,100,34,0.249,0.889,1.79,9694755.2561213,0.618085393214697,0.894534857913582
295,"Manny Machado",26.6,3e+07,188,107,37,0.297,0.905,3.64,7251024.91191389,0.75829916960287,1.22138787546811
1,"A.J. Pollock",31.1,1.2e+07,106,65,21,0.257,0.8,2.19,5183384.56606057,0.568051286161619,0.7933961330765
31,"Andrew McCutchen",32.2,16666667,145,65,20,0.255,0.792,1.55,6048456.74502041,0.637092602556923,0.934902259320273
321,"Michael Brantley",31.6,1.6e+07,176,76,17,0.309,0.832,3.79,4436088.29745193,0.722744481409254,1.13171479142512
112,"D.J. LeMahieu",30.4,1.2e+07,147,62,15,0.276,0.749,2.91,4334690.3438171,0.638775804681908,0.938531370334096
118,"Daniel Murphy",33.7,1.2e+07,98,42,12,0.299,0.79,-0.67,3119758.79655278,0.740020100287268,1.17465381861407
250,"Josh Donaldson",32.9,2.3e+07,46,23,8,0.246,0.801,0.54,3420078.20590151,0.851300947569499,1.48220013896286
306,"Marwin Gonzalez",29.9,10500000,121,68,16,0.247,0.733,2.39,4742345.76317035,0.548348022555205,0.755481384071698
210,"Jed Lowrie",34.7,1e+07,159,99,23,0.267,0.801,4,4781707.06843249,0.521829293156751,0.706047401346708
439,"Wilson Ramos",31.3,9500000,117,70,15,0.306,0.845,1.74,4531511.65287157,0.52299877338194,0.708190032555989
443,"Yasmani Grandal",30.2,18250000,106,68,24,0.241,0.815,3.6,6386227.82935963,0.650069707980294,0.963115965058742
342,"Nelson Cruz",38.4,14300000,133,97,37,0.256,0.851,2.94,5811882.39146247,0.593574657939688,0.844089821462038
334,"Mike Moustakas",30.4,1e+07,144,95,28,0.251,0.774,1.51,6042978.70847156,0.395702129152844,0.493302567239451
281,"Kurt Suzuki",35.1,5e+06,94,50,12,0.271,0.776,2.05,3740083.14340288,0.251983371319424,0.288307750836014
