"Team1","Team1Acquired1","Team1Position1","Team1Cash1","Team1Acquired2","Team1Position2","Team1Cash2","Team1Acquired3","Team1Position3","Team1Cash3","Team1Acquired4","Team1Position4","Team1Cash4","Team1Acquired5","Team1Position5","Team1Cash5","Team1Acquired6","Team2","Team2Acquired1","Team2Position1","Team2Cash1","Team2Acquired2","Team2Position2","Team2Cash2","Team2Acquired3","Team2Position3","Team2Cash3","Team2Acquired4","Team2Acquired5","Team2Acquired6","Date"
"Texas Rangers","Alex Jackson","C",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Milwaukee Brewers","Evan McKendry","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Milwaukee Brewers","Andrew Chafin","RP","1803770","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Arizona Diamondbacks","Peter Strzelecki","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Chicago White Sox","Jake Eder","SP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Miami Marlins","Jake Burger","3B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Detroit Tigers","Eddys Leonard","SS",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Los Angeles Dodgers","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Tampa Bay Rays","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Chicago White Sox","Luis Patino","SP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Texas Rangers","Austin Hedges","C","3360198","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Pittsburgh Pirates","International Bonus Space",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"New York Mets","Jeremy Rodriguez","SS",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Arizona Diamondbacks","Tommy Pham","LF","1639802","",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Baltimore Orioles","Jack Flaherty","SP","1770952","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"St. Louis Cardninals","Cesar Prieto","2B",NA,"Drew Rom","P",NA,"Zack Showalter","P",NA,NA,NA,NA,2023-08-01
"New York Mets","Phil Bickford","RP",NA,"Adam Kolarek","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Los Angeles Dodgers","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"New York Yankees","Keynan Middleton","RP","245952","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Chicago White Sox","Juan Carela","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Philadelphia Phillies","Rodolfo Castro","SS",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Pittsburgh Pirates","Bailey Falter","SP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"San Diego Padres","Garrett Cooper","1B","1377441","Sean Reynolds","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Miami Marlins","Ryan Weathers","SP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Kansas City Royals","Henry Williams","SP",NA,"Jesus Rios","",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"San Diego Padres","Scott Barlow","RP","1738195","",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Kansas City Royals","Devin Mann","2B",NA,"Derlin Figueroa","",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Los Angeles Dodgers","Ryan Yarbrough","SP","983869","",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"New York Yankees","Spencer Howard","SP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Texas Rangers","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Miami Marlins","Josh Bell","1B","5411310","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cleveland Gaurdians","Jean Segura","3B",NA,"Khalil Watson","SS",NA,"",NA,NA,NA,NA,NA,2023-08-01
"Boston Red Sox","Luis Urias","3B","1541409","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Milwaukee Brewers","Bradley Blalock","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Los Angeles Angels","Dominic Leone","RP","245952","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"New York Mets","Jeremiah Jackson","SS",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Baltimore Orioles","Logan Rinehart","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Seattle Mariners","Eduard Bazardo","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Detroit Tigers","Hao-Yu Lee","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Philadelphia Phillies","Michael Lorenzen","SP","2787639","",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"New York Mets","Drew Gilbert","CF",NA,"Ryan Clifford","LF",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Houston Astros","Justin Verlander","SP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Alanta Braves","Brad Hand","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Colorado Rockies","Alec Barger","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Pittsburgh Pirates","Jackson Wolf","P",NA,"Estuar Suero","OF",NA,"Alfonso Rivas","1B",NA,"",NA,NA,"",NA,NA,NA,"San Diego Padres","Rich Hill","SP","2623671","Ji-Man Choi","1B","1525000","",NA,NA,NA,NA,NA,2023-08-01
"Toronto Blue Jays","Paul DeJong","SS",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"St. Louis Cardninals","Matt Svanson","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Colorado Rockies","Justin Bruihl","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Los Angeles Dodgers","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Kansas City Royals","Tucker Davidson","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Los Angeles Angels","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Tampa Bay Rays","Adrian Sampson","SP","623115","International Bonus Space",NA,NA,"Manuel Rodriguez","RP",NA,"",NA,NA,"",NA,NA,NA,"Chicago Cubs","Josh Roberson","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-08-01
"Kansas City Royals","Nelson Velazquez","CF","240002","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Chicago Cubs","Jose Cuas","RP","241986","",NA,NA,"",NA,NA,NA,NA,NA,2023-07-31
"Oakland Athletics","Joe Boyle","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cincinnati Reds","Sam Moll","RP",NA,"International Cap Space",NA,NA,"",NA,NA,NA,NA,NA,2023-07-31
"Oakland Athletics","Chad Patrick","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Arizona Diamondbacks","Jace Peterson","3B","1500028","",NA,NA,"",NA,NA,NA,NA,NA,2023-07-31
"Seattle Mariners","future considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"San Francisco Giants","A.J. Pollock","LF","2333308","Mark Mathias","2B",NA,"",NA,NA,NA,NA,NA,2023-07-31
"Washington Nationals","DJ Herz","P",NA,"Kevin Made","SS",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Chicago Cubs","Jeimer Candelario","3B","1666684","",NA,NA,"",NA,NA,NA,NA,NA,2023-07-31
