"PlayerID","Player","Pos","Age","Bats","Throws","BaseSalary","Team","dummy_Pos","contract_value","dummy_salary","dummy_age"
1,"A.J. Alexy","RP",24,"","R","$700,000 "," TEX",1,7e+05,1,1
3,"A.J. Minter","RP",28,"","L","$2,200,000 "," ATL",1,2200000,1,2
4,"A.J. Puk","RP/CL",27,"","L","$705,000 "," OAK",1,705000,1,2
5,"AJ Pollock","LF",34,"R","","$11,500,000 "," CHW",3,11500000,3,2
7,"Aaron Ashby","SP",24,"","L","$704,500 "," MIL",1,704500,1,1
8,"Aaron Bummer","RP",28,"","L","$2,500,000 "," CHW",1,2500000,1,2
9,"Aaron Civale","SP",27,"","R","$716,900 "," CLE",1,716900,1,2
11,"Aaron Hicks","CF",32,"","","$10,500,000 "," NYY",3,10500000,3,2
12,"Aaron Judge","CF",30,"R","","$19,000,000 "," NYY",3,1.9e+07,3,2
13,"Aaron Loup","RP",34,"","L","$7,500,000 "," LAA",1,7500000,3,2
14,"Aaron Nola","SP",29,"","R","$15,000,000 "," PHI",1,1.5e+07,3,2
19,"Abraham Toro","3B",25,"","","$730,300 "," SEA",2,730300,1,1
20,"Adalberto Mondesi","SS",26,"","","$3,000,000 "," KC",2,3e+06,1,2
21,"Adam Cimber","RP",31,"","R","$1,575,000 "," TOR",1,1575000,1,2
23,"Adam Duvall","LF",33,"R","","$9,275,000 "," ATL",3,9275000,3,2
25,"Adam Engel","RF",30,"R","","$2,000,000 "," CHW",3,2e+06,1,2
26,"Adam Frazier","2B",30,"L","","$8,000,000 "," SEA",2,8e+06,3,2
30,"Adam Ottavino","RP",36,"","R","$4,000,000 "," NYM",1,4e+06,2,3
32,"Adam Wainwright","SP",40,"","R","$17,500,000 "," STL",1,17500000,3,3
33,"Adbert Alzolay","RP",27,"","R","$718,250 "," CHC",1,718250,1,2
34,"Adolis Garcia","RF",29,"R","","$714,000 "," TEX",3,714000,1,2
36,"Adrian Houser","SP",29,"","R","$2,425,000 "," MIL",1,2425000,1,2
38,"Adrian Morejon","RP",23,"","L","$704,500 "," SD",1,704500,1,1
41,"Akil Baddoo","CF",23,"L","","$709,400 "," DET",3,709400,1,1
42,"Alan Trejo","SS",26,"R","","$702,000 "," COL",2,702000,1,2
43,"Albert Abreu","RP",26,"","R","$707,500 "," NYY",1,707500,1,2
45,"Albert Pujols","DH",42,"R","","$2,500,000 "," STL",4,2500000,1,3
49,"Alec Bohm","3B",25,"R","","$715,000 "," PHI",2,715000,1,1
50,"Alec Mills","SP",30,"","R","$741,250 "," CHC",1,741250,1,2
51,"Aledmys Diaz","SS",31,"R","","$4,450,000 "," HOU",2,4450000,3,2
52,"Alejandro Kirk","C",23,"R","","$714,000 "," TOR",2,714000,1,1
53,"Alejo Lopez","2B",26,"","","$700,000 "," CIN",2,7e+05,1,2
54,"Alek Manoah","SP",24,"","R","$730,000 "," TOR",1,730000,1,1
57,"Alex Bregman","3B",28,"R","","$11,000,000 "," HOU",2,1.1e+07,3,2
58,"Alex Cobb","SP",34,"","R","$9,000,000 "," SF",1,9e+06,3,2
59,"Alex Colome","RP",33,"","R","$4,100,000 "," COL",1,4100000,3,2
62,"Alex Jackson","C",26,"R","","$700,000 "," MIL",2,7e+05,1,2
63,"Alex Kirilloff","OF",24,"L","","$708,250 "," MIN",3,708250,1,1
64,"Alex Lange","RP/CL",26,"","R","$703,700 "," DET",1,703700,1,2
66,"Alex Reyes","RP",27,"","R","$2,850,000 "," STL",1,2850000,1,2
67,"Alex Verdugo","LF",26,"L","","$3,550,000 "," BOS",3,3550000,1,2
68,"Alex Vesia","RP",26,"","L","$720,000 "," LAD",1,720000,1,2
70,"Alex Wood","SP",31,"","L","$12,500,000 "," SF",1,12500000,3,2
71,"Alex Young","RP",28,"","L","$700,000 "," SF",1,7e+05,1,2
72,"Alfonso Rivas","1B",25,"L","","$701,500 "," CHC",2,701500,1,1
74,"Amed Rosario","SS",26,"R","","$4,950,000 "," CLE",2,4950000,3,2
75,"Amir Garrett","RP",30,"","L","$2,025,000 "," KC",1,2025000,1,2
81,"Andrew Bellatti","RP",30,"","R","$700,000 "," PHI",1,7e+05,1,2
82,"Andrew Benintendi","LF",27,"L","","$8,500,000 "," NYY",3,8500000,3,2
83,"Andrew Chafin","RP/CL",32,"","L","$5,500,000 "," DET",1,5500000,3,2
84,"Andrew Heaney","SP",31,"","L","$8,500,000 "," LAD",1,8500000,3,2
85,"Andrew Kittredge","RP",32,"","R","$1,850,000 "," TB",1,1850000,1,2
87,"Andrew Knizner","C",27,"R","","$718,300 "," STL",2,718300,1,2
