"PlayerID","Player","Pos","Age","Bats","Throws","BaseSalary","Team","contract_value","dummy_salary","dummy_age","dummy_Pos"
3,"A.J. Minter","RP",29,"","L","$4,287,500 "," ATL",4287500,3,2,1
4,"A.J. Puk","RP/CL",28,"","L","$736,000 "," MIA",736000,1,2,1
7,"Aaron Ashby","SP",25,"","L","$1,000,000 "," MIL",1e+06,1,1,1
8,"Aaron Bummer","RP",29,"","L","$3,750,000 "," CHW",3750000,1,2,1
9,"Aaron Civale","SP",28,"","R","$2,600,000 "," TB",2600000,1,2,1
12,"Aaron Judge","CF",31,"R","","$40,000,000 "," NYY",4e+07,3,2,3
13,"Aaron Loup","RP",35,"","L","$7,500,000 "," LAA",7500000,3,3,1
14,"Aaron Nola","SP",30,"","R","$16,000,000 "," PHI",1.6e+07,3,2,1
20,"Adalberto Mondesi","SS",27,"","","$3,045,000 "," BOS",3045000,1,2,2
21,"Adam Cimber","RP",32,"","R","$3,150,000 "," TOR",3150000,1,2,1
23,"Adam Duvall","RF",34,"R","","$7,000,000 "," BOS",7e+06,3,2,3
26,"Adam Frazier","2B",31,"L","","$8,000,000 "," BAL",8e+06,3,2,2
30,"Adam Ottavino","RP",37,"","R","$7,750,000 "," NYM",7750000,3,3,1
32,"Adam Wainwright","SP",41,"","R","$17,500,000 "," STL",17500000,3,3,1
33,"Adbert Alzolay","RP",28,"","R","$744,750 "," CHC",744750,1,2,1
34,"Adolis Garcia","RF",30,"R","","$747,760 "," TEX",747760,1,2,3
36,"Adrian Houser","SP",30,"","R","$3,600,000 "," MIL",3600000,1,2,1
41,"Akil Baddoo","LF",24,"L","","$721,300 "," DET",721300,1,1,3
42,"Alan Trejo","2B",27,"R","","$722,000 "," COL",722000,1,2,2
43,"Albert Abreu","RP",27,"","R","$738,700 "," NYY",738700,1,2,1
49,"Alec Bohm","1B",26,"R","","$748,000 "," PHI",748000,1,2,2
51,"Aledmys Diaz","SS",32,"R","","$6,500,000 "," OAK",6500000,3,2,2
52,"Alejandro Kirk","C",24,"R","","$767,300 "," TOR",767300,1,1,2
57,"Alex Bregman","3B",29,"R","","$28,500,000 "," HOU",28500000,3,2,2
58,"Alex Cobb","SP",35,"","R","$9,000,000 "," SF",9e+06,3,3,1
63,"Alex Kirilloff","1B",25,"L","","$735,650 "," MIN",735650,1,1,2
64,"Alex Lange","RP/CL",27,"","R","$726,000 "," DET",726000,1,2,1
66,"Alex Reyes","RP",28,"","R","$1,100,000 "," LAD",1100000,1,2,1
67,"Alex Verdugo","RF",27,"L","","$6,300,000 "," BOS",6300000,3,2,3
68,"Alex Vesia","RP",27,"","L","$750,000 "," LAD",750000,1,2,1
70,"Alex Wood","RP",32,"","L","$12,500,000 "," SF",12500000,3,2,1
71,"Alex Young","RP",29,"","L","$1,150,000 "," CIN",1150000,1,2,1
74,"Amed Rosario","SS",27,"R","","$7,800,000 "," LAD",7800000,3,2,2
77,"Andre Jackson","SP",27,"","R","$722,500 "," PIT",722500,1,2,1
82,"Andrew Benintendi","LF",28,"L","","$8,000,000 "," CHW",8e+06,3,2,3
83,"Andrew Chafin","RP/CL",33,"","L","$5,500,000 "," MIL",5500000,3,2,1
84,"Andrew Heaney","SP",32,"","L","$12,000,000 "," TEX",1.2e+07,3,2,1
85,"Andrew Kittredge","RP",33,"","R","$2,075,000 "," TB",2075000,1,2,1
87,"Andrew Knizner","C",28,"R","","$1,100,000 "," STL",1100000,1,2,2
88,"Andrew McCutchen","RF",36,"R","","$5,000,000 "," PIT",5e+06,3,3,3
91,"Andrew Stevenson","OF",29,"L","","$720,000 "," MIN",720000,1,2,3
92,"Andrew Vasquez","RP",29,"","L","$723,500 "," DET",723500,1,2,1
93,"Andrew Vaughn","1B",25,"R","","$760,000 "," CHW",760000,1,1,2
95,"Andrew Wantz","RP",27,"","R","$740,000 "," LAA",740000,1,2,1
97,"Andres Gimenez","2B",24,"L","","$1,000,000 "," CLE",1e+06,1,1,2
98,"Andres Machado","RP",30,"","R","$720,000 "," WSH",720000,1,2,1
99,"Andres Munoz","RP",24,"","R","$1,500,000 "," SEA",1500000,1,1,1
101,"Andy Ibanez","2B",30,"R","","$720,000 "," DET",720000,1,2,2
108,"Anthony Bender","RP",28,"","R","$738,500 "," MIA",738500,1,2,1
110,"Anthony DeSclafani","SP",33,"","R","$12,000,000 "," SF",1.2e+07,3,2,1
112,"Anthony Kay","RP",28,"","L","$720,000 "," NYM",720000,1,2,1
113,"Anthony Misiewicz","RP",28,"","L","$720,000 "," NYY",720000,1,2,1
114,"Anthony Rendon","3B",33,"R","","$38,000,000 "," LAA",3.8e+07,3,2,2
115,"Anthony Rizzo","1B",33,"L","","$17,000,000 "," NYY",1.7e+07,3,2,2
116,"Anthony Santander","RF",28,"","","$7,400,000 "," BAL",7400000,3,2,3
119,"Antonio Senzatela","SP",28,"","R","$7,250,000 "," COL",7250000,3,2,1
123,"Aroldis Chapman","RP",35,"","L","$3,750,000 "," TEX",3750000,1,3,1
130,"Austin Barnes","C",33,"R","","$3,500,000 "," LAD",3500000,1,2,2
134,"Austin Gomber","SP",29,"","L","$1,650,000 "," COL",1650000,1,2,1
135,"Austin Hays","LF",27,"R","","$3,200,000 "," BAL",3200000,1,2,3
136,"Austin Hedges","C",30,"R","","$5,000,000 "," TEX",5e+06,3,2,2
137,"Austin Meadows","DH",28,"L","","$4,300,000 "," DET",4300000,3,2,4
140,"Austin Riley","3B",26,"R","","$15,000,000 "," ATL",1.5e+07,3,2,2
142,"Austin Slater","LF",30,"R","","$3,200,000 "," SF",3200000,1,2,3
145,"Austin Wynns","C",32,"R","","$720,000 "," COL",720000,1,2,2
146,"Avisail Garcia","RF",32,"R","","$12,000,000 "," MIA",1.2e+07,3,2,3
147,"Bailey Falter","SP",26,"","L","$733,000 "," PIT",733000,1,2,1
148,"Bailey Ober","SP",27,"","R","$720,000 "," MIN",720000,1,2,1
152,"Ben Rortvedt","C",25,"L","","$730,000 "," NYY",730000,1,1,2
156,"Billy McKinney","OF",28,"L","","$720,000 "," NYY",720000,1,2,3
159,"Blake Snell","SP",30,"","L","$16,000,000 "," SD",1.6e+07,3,2,1
161,"Blake Treinen","RP",35,"","R","$8,000,000 "," LAD",8e+06,3,3,1
162,"Bo Bichette","SS",25,"R","","$2,850,000 "," TOR",2850000,1,1,2
165,"Brad Boxberger","RP",35,"","R","$2,000,000 "," CHC",2e+06,1,3,1
167,"Brad Hand","RP",33,"","L","$1,500,000 "," ATL",1500000,1,2,1
168,"Brad Keller","SP",27,"","R","$5,775,000 "," KC",5775000,3,2,1
169,"Brad Miller","2B",33,"L","","$4,000,000 "," TEX",4e+06,2,2,2
175,"Brady Singer","SP",26,"","R","$2,950,000 "," KC",2950000,1,2,1
176,"Brandon Belt","1B",35,"L","","$9,300,000 "," TOR",9300000,3,3,2
179,"Brandon Crawford","SS",36,"L","","$16,000,000 "," SF",1.6e+07,3,3,2
181,"Brandon Drury","3B",30,"R","","$8,500,000 "," LAA",8500000,3,2,2
183,"Brandon Lowe","2B",28,"L","","$5,250,000 "," TB",5250000,3,2,2
184,"Brandon Marsh","CF",25,"L","","$734,500 "," PHI",734500,1,1,3
185,"Brandon Nimmo","CF",30,"L","","$18,250,000 "," NYM",18250000,3,2,3
187,"Brandon Woodruff","SP",30,"","R","$10,800,000 "," MIL",10800000,3,2,1
190,"Braxton Garrett","SP",25,"","L","$732,000 "," MIA",732000,1,1,1
191,"Brendan Rodgers","2B",26,"R","","$2,700,000 "," COL",2700000,1,2,2
