"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
13,"Aaron Loup","RP",33.9,"L","L","NYM","LAA",2,"$17,000,000 ",8500000,NA,NA,NA,NA,NA,56.7,0.95,0.94,6,0,2.79,1,2,8500000,3,2
30,"Adam Ottavino","RP",36.2,"","R","BOS","NYM",1,"$4,000,000 ",4e+06,NA,NA,NA,NA,NA,62,4.21,1.45,7,11,0.81,1,1,4e+06,2,3
45,"Albert Pujols","DH",42.2,"R","R","LAD","STL",1,"$2,500,000 ",2500000,65,50,17,0.236,0.717,NA,NA,NA,NA,NA,-0.72,4,1,2500000,1,3
58,"Alex Cobb","SP",34.1,"R","R","LAA","SF",2,"$20,000,000 ",1e+07,NA,NA,NA,NA,NA,93.3,3.76,1.26,8,NA,1.63,1,2,1e+07,3,3
59,"Alex Colome","RP",33.2,"R","R","MIN","COL",1,"$4,100,000 ",4100000,NA,NA,NA,NA,NA,65,4.15,1.4,4,17,-0.65,1,1,4100000,2,2
61,"Alex Dickerson","LF",31.8,"L","L","SF","ATL",1,"$1,000,000 ",1e+06,66,38,13,0.233,0.724,NA,NA,NA,NA,NA,-0.1,3,1,1e+06,1,2
70,"Alex Wood","SP",30.8,"R","L","SF","SF",2,"$25,000,000 ",12500000,NA,NA,NA,NA,0.116,138.7,3.83,1.18,10,NA,1.63,1,2,12500000,3,2
79,"Andrelton Simmons","SS",32.5,"R","R","MIN","CHC",1,"$4,000,000 ",4e+06,92,31,3,0.223,0.557,NA,NA,NA,NA,NA,1.47,2,1,4e+06,2,2
83,"Andrew Chafin","RP",31.7,"R","L","OAK","DET",2,"$13,000,000 ",6500000,NA,NA,NA,NA,NA,68.7,1.84,0.93,2,5,1.48,1,2,6500000,3,2
84,"Andrew Heaney","SP",30.4,"L","L","NYY","LAD",1,"$8,500,000 ",8500000,1,NA,NA,0.333,0.833,129.7,5.83,1.32,8,NA,0.8,1,1,8500000,3,2
86,"Andrew Knapp","C",30.3,"","R","CIN","PIT",1,"$800,000 ",8e+05,22,11,2,0.152,0.429,0.3,NA,NA,NA,NA,-1.47,2,1,8e+05,1,2
88,"Andrew McCutchen","RF",35.4,"R","R","PHI","MIL",1,"$8,500,000 ",8500000,107,80,27,0.222,0.778,NA,NA,NA,NA,NA,1.36,3,1,8500000,3,3
105,"Anthony Banda","RP",29,"L","L","SEA","NYY",1,"$700,000 ",7e+05,NA,NA,NA,NA,NA,33.7,4.28,1.55,2,0,-0.33,1,1,7e+05,1,2
110,"Anthony DeSclafani","SP",31.6,"R","R","SF","SF",3,"$36,000,000 ",1.2e+07,2,1,NA,0.039,0.168,167.7,3.17,1.09,13,NA,4.17,1,2,1.2e+07,3,2
115,"Anthony Rizzo","1B",32.6,"L","L","NYY","NYY",2,"$32,000,000 ",1.6e+07,123,61,22,0.248,0.784,0.7,NA,NA,NA,NA,1.18,2,2,1.6e+07,3,2
121,"Archie Bradley","RP",29.6,"R","R","PHI","LAA",1,"$3,750,000 ",3750000,NA,NA,NA,NA,NA,51,3.71,1.43,7,2,0.68,1,1,3750000,1,2
146,"Avisail Garcia","RF",30.4,"R","R","MIL","MIA",4,"$53,000,000 ",13250000,121,86,29,0.262,0.821,NA,NA,NA,NA,NA,2.9,3,2,13250000,3,2
165,"Brad Boxberger","RP",33.8,"R","R","MIL","MIL",1,"$2,500,000 ",2500000,NA,NA,NA,NA,NA,64.7,3.34,1.07,5,4,1.16,1,1,2500000,1,2
167,"Brad Hand","RP",31.9,"L","L","NYM","PHI",1,"$6,000,000 ",6e+06,NA,NA,NA,NA,NA,64.7,3.9,1.27,6,21,0.27,1,1,6e+06,3,2
169,"Brad Miller","LF",32.3,"L","R","PHI","TEX",2,"$10,000,000 ",5e+06,75,49,20,0.227,0.774,NA,NA,NA,NA,NA,0.36,3,2,5e+06,2,2
176,"Brandon Belt","1B",33.5,"L","L","SF","SF",1,"$18,400,000 ",18400000,89,59,29,0.274,0.975,NA,NA,NA,NA,NA,2.65,2,1,18400000,3,2
208,"Brooks Raley","RP",33.4,"L","L","HOU","TB",2,"$10,000,000 ",5e+06,NA,NA,NA,NA,NA,49,4.78,1.2,2,2,-0.43,1,2,5e+06,2,2
218,"Bryan Shaw","RP",34.3,"","R","CLE","CLE",1,"$3,000,000 ",3e+06,NA,NA,NA,NA,NA,77.3,3.49,1.38,6,2,1.25,1,1,3e+06,1,3
237,"Carlos Correa","SS",27.4,"R","R","HOU","MIN",3,"$105,300,000 ",35100000,154,92,26,0.277,0.847,NA,NA,NA,NA,NA,7.23,2,2,35100000,3,2
