PlayerID,Player
1,A.J. Alexy
2,A.J. Cole
3,A.J. Minter
4,A.J. Puk
5,AJ Pollock
6,AJ Ramos
7,Aaron Ashby
8,Aaron Bummer
9,Aaron Civale
10,Aaron Fletcher
11,Aaron Hicks
12,Aaron Judge
13,Aaron Loup
14,Aaron Nola
15,Aaron Northcraft
16,Aaron Sanchez
17,Aaron Slegers
18,Abraham Almonte
19,Abraham Toro
20,Adalberto Mondesi
21,Adam Cimber
22,Adam Conley
23,Adam Duvall
24,Adam Eaton
25,Adam Engel
26,Adam Frazier
27,Adam Haseley
28,Adam Kolarek
29,Adam Morgan
30,Adam Ottavino
31,Adam Plutko
32,Adam Wainwright
33,Adbert Alzolay
34,Adolis Garcia
35,Adonis Medina
36,Adrian Houser
37,Adrian Sampson
38,Adrian Morejon
39,Adrian Sanchez
40,Akeem Bostick
41,Akil Baddoo
42,Alan Trejo
43,Albert Abreu
44,Albert Almora
45,Albert Pujols
46,Alberto Baldonado
47,Alcides Escobar
48,Alec Bettinger
49,Alec Bohm
50,Alec Mills
51,Aledmys Diaz
52,Alejandro Kirk
53,Alejo Lopez
54,Alek Manoah
55,Alex Avila
56,Alex Blandino
57,Alex Bregman
58,Alex Cobb
59,Alex Colome
60,Alex De Goti
61,Alex Dickerson
62,Alex Jackson
63,Alex Kirilloff
64,Alex Lange
65,Alex McRae
66,Alex Reyes
67,Alex Verdugo
68,Alex Vesia
69,Alex Wells
70,Alex Wood
71,Alex Young
72,Alfonso Rivas
73,Ali Sanchez
74,Amed Rosario
75,Amir Garrett
76,Anderson Tejeda
77,Andre Jackson
78,Andre Scrubb
79,Andrelton Simmons
80,Andrew Albers
81,Andrew Bellatti
82,Andrew Benintendi
83,Andrew Chafin
84,Andrew Heaney
85,Andrew Kittredge
86,Andrew Knapp
87,Andrew Knizner
88,Andrew McCutchen
89,Andrew Miller
90,Andrew Romine
91,Andrew Stevenson
92,Andrew Vasquez
93,Andrew Vaughn
94,Andrew Velazquez
95,Andrew Wantz
96,Andrew Young
97,Andres Gimenez
98,Andres Machado
99,Andres Munoz
100,Andy Burns
101,Andy Ibanez
102,Angel Perdomo
103,Angel Rondon
104,Anthony Alford
105,Anthony Banda
106,Anthony Bass
107,Anthony Bemboom
108,Anthony Bender
109,Anthony Castro
110,Anthony DeSclafani
111,Anthony Gose
112,Anthony Kay
113,Anthony Misiewicz
114,Anthony Rendon
115,Anthony Rizzo
116,Anthony Santander
117,Anthony Swarzak
118,Antonio Santos
119,Antonio Senzatela
120,Aramis Garcia
121,Archie Bradley
122,Aristides Aquino
123,Aroldis Chapman
124,Art Warren
125,Asdrubal Cabrera
126,Asher Wojciechowski
127,Ashton Goudeau
128,Austin Adams
129,Austin Allen
130,Austin Barnes
131,Austin Brice
132,Austin Davis
133,Austin Dean
134,Austin Gomber
135,Austin Hays
136,Austin Hedges
137,Austin Meadows
138,Austin Nola
139,Austin Pruitt
140,Austin Riley
141,Austin Romine
142,Austin Slater
143,Austin Voth
144,Austin Warren
145,Austin Wynns
146,Avisail Garcia
147,Bailey Falter
148,Bailey Ober
149,Beau Burrows
150,Ben Bowden
151,Ben Gamel
152,Ben Rortvedt
153,Ben Rowen
154,Bernardo Flores Jr.
155,Billy Hamilton
156,Billy McKinney
157,Blaine Hardy
158,Blake Parker
159,Blake Snell
160,Blake Taylor
161,Blake Treinen
162,Bo Bichette
163,Bobby Bradley
164,Bobby Dalbec
165,Brad Boxberger
166,Brad Brach
167,Brad Hand
168,Brad Keller
169,Brad Miller
170,Brad Peacock
171,Brad Wieck
172,Braden Bishop
173,Bradley Zimmer
174,Brady Lail
175,Brady Singer
176,Brandon Belt
177,Brandon Bielak
178,Brandon Brennan
179,Brandon Crawford
180,Brandon Dickson
181,Brandon Drury
182,Brandon Kintzler
183,Brandon Lowe
184,Brandon Marsh
185,Brandon Nimmo
186,Brandon Waddell
187,Brandon Woodruff
188,Brandon Workman
189,Brandyn Sittinger
190,Braxton Garrett
191,Brendan Rodgers
192,Brent Honeywell Jr.
193,Brent Rooker
194,Brent Suter
195,Brett Anderson
196,Brett Gardner
197,Brett Martin
198,Brett Phillips
199,Brett de Geus
200,Breyvic Valera
201,Brian Anderson
202,Brian Goodwin
203,Brian Miller
204,Brian O'Grady
205,Brock Holt
206,Brody Koerner
207,Brooks Kriske
208,Brooks Raley
209,Bruce Zimmermann
210,Brusdar Graterol
211,Bryan Abreu
212,Bryan Baker
213,Bryan De La Cruz
214,Bryan Garcia
215,Bryan Holaday
216,Bryan Mitchell
217,Bryan Reynolds
218,Bryan Shaw
219,Bryce Harper
220,Bryse Wilson
221,Buck Farmer
222,Burch Smith
223,Buster Posey
224,Byron Buxton
225,C.J. Cron
226,Cal Quantrill
227,Cal Raleigh
228,Caleb Baragar
229,Caleb Smith
230,Caleb Thielbar
231,Cam Bedrosian
232,Cam Gallagher
233,Cameron Maybin
234,Camilo Doval
235,Carl Edwards Jr.
236,Carlos Carrasco
237,Carlos Correa
238,Carlos Estevez
239,Carlos Hernandez
240,Carlos Martinez
241,Carlos Rodon
242,Carlos Santana
243,Carson Fulmer
244,Carson Kelly
245,Carter Kieboom
246,Casey Mize
247,Casey Sadler
248,Cavan Biggio
249,Cedric Mullins
250,Chad Green
251,Chad Kuhl
252,Chad Pinder
253,Chad Wallach
254,Chadwick Tromp
255,Chance Sisco
256,Charlie Barnes
257,Charlie Blackmon
258,Charlie Culberson
259,Charlie Morton
260,Chas McCormick
261,Chase Anderson
262,Chase De Jong
263,Chasen Shreve
264,Chaz Roe
265,Chi Chi Gonzalez
266,Chris Archer
267,Chris Bassitt
268,Chris Devenski
269,Chris Ellis
270,Chris Flexen
271,Chris Gittens
272,Chris Martin
273,Chris Mazza
274,Chris Owings
275,Chris Paddack
276,Chris Rodriguez
277,Chris Sale
278,Chris Stratton
279,Chris Taylor
280,Christian Arroyo
281,Christian Vazquez
282,Christian Walker
283,Christian Yelich
284,Cionel Perez
285,Clarke Schmidt
286,Clay Holmes
287,Clayton Kershaw
288,Clint Frazier
289,Codi Heuer
290,Cody Bellinger
291,Cody Ponce
292,Cody Poteet
293,Cody Reed
294,Cody Stashak
295,Cody Wilson
296,Cole Irvin
297,Cole Sulser
298,Cole Tucker
299,Colin Moran
300,Colin Rea
301,Collin McHugh
302,Colten Brewer
303,Colton Welker
304,Conner Greene
305,Conner Menez
306,Connor Brogdon
307,Connor Joe
308,Connor Overton
309,Connor Seabold
310,Connor Wong
311,Cooper Criswell
312,Corbin Burnes
313,Corbin Martin
314,Corey Dickerson
315,Corey Kluber
316,Corey Knebel
317,Corey Oswalt
318,Corey Ray
319,Corey Seager
320,Cory Abbott
321,Craig Kimbrel
322,Craig Stammen
323,Cristian Javier
324,Cristian Pache
325,Cristopher Sanchez
326,Curt Casali
327,Curtis Terry
328,Cesar Hernandez
329,Cesar Valdez
330,DJ Johnson
331,DJ LeMahieu
332,DJ Peters
333,DJ Stewart
334,Dakota Hudson
335,Dallas Keuchel
336,Damon Jones
337,Dan Altavilla
338,Dan Winkler
339,Dane Dunning
340,Daniel Bard
341,Daniel Camarena
342,Daniel Castano
343,Daniel Hudson
344,Daniel Johnson
345,Daniel Lynch IV
346,Daniel Norris
347,Daniel Ponce de Leon
348,Daniel Robertson
349,Daniel Vogelbach
350,Daniel Zamora
351,Danny Coulombe
352,Danny Duffy
353,Danny Jansen
354,Danny Mendick
355,Danny Santana
356,Dansby Swanson
357,Darien Nunez
358,Darin Ruf
359,Darren McCaughan
360,Darren O'Day
361,Darwinzon Hernandez
362,Daulton Jefferies
363,Daulton Varsho
364,Dauri Moreta
365,David Bednar
366,David Bote
367,David Dahl
368,David Fletcher
369,David Hale
370,David Hess
371,David Paulino
372,David Peralta
373,David Peterson
374,David Phelps
375,David Price
376,David Robertson
377,Daz Cameron
378,Dean Kremer
379,Deivi Garcia
380,Delino DeShields
381,Dellin Betances
382,Demarcus Evans
383,Dennis Santana
384,Deolis Guerra
385,Derek Fisher
386,Derek Hill
387,Derek Holland
388,Derek Law
389,Deven Marrero
390,Devin Smeltzer
391,Devin Williams
392,Dexter Fowler
393,Didi Gregorius
394,Diego Castillo
395,Dietrich Enns
396,Dillon Maples
397,Dillon Peters
398,Dillon Tate
399,Dillon Thomas
400,Dinelson Lamet
401,Dom Nunez
402,Domingo Acevedo
403,Domingo German
404,Domingo Leyba
405,Domingo Tapia
406,Dominic Leone
407,Dominic Smith
408,Donovan Solano
409,Donovan Walton
410,Drew Anderson
411,Drew Butera
412,Drew Carlton
413,Drew Ellis
414,Drew Hutchison
415,Drew Pomeranz
416,Drew Rasmussen
417,Drew Smith
418,Drew Smyly
419,Drew Steckenrider
420,Duane Underwood Jr.
421,Dusten Knight
422,Dustin Fowler
423,Dustin Garneau
424,Dustin May
425,Dylan Bundy
426,Dylan Carlson
427,Dylan Cease
428,Dylan Coleman
429,Dylan Floro
430,Dylan Lee
431,Dylan Moore
432,Eddie Rosario
433,Eddy Alvarez
434,Edgar Garcia
435,Edgar Santana
436,Edmundo Sosa
437,Eduard Bazardo
438,Eduardo Escobar
439,Eduardo Rodriguez
440,Edward Cabrera
441,Edward Olivares
442,Edwin Diaz
443,Edwin Rios
444,Edwin Uceta
445,Ehire Adrianza
446,Eli Morgan
447,Eli White
448,Elias Diaz
449,Elieser Hernandez
450,Eloy Jimenez
